participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.Trad_strict,participant.ES_strict,participant.switch_order,participant.confirm,participant.start_time,participant.end_time,participant.treatment,participant.WTP_same,participant.choices_orders,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.development,session.config.name,session.config.participation_fee,session.config.real_world_currency_per_point,session.prolific_completion_url,welfare.1.player.id_in_group,welfare.1.player.role,welfare.1.player.payoff,welfare.1.player.confirm,welfare.1.player.ES_wtp,welfare.1.player.Trad_wtp,welfare.1.player.ES_learn,welfare.1.player.Trad_learn,welfare.1.player.ES_wtp2,welfare.1.player.Trad_wtp2,welfare.1.player.ES_learn2,welfare.1.player.Trad_learn2,welfare.1.player.ES_wtp3,welfare.1.player.Trad_wtp3,welfare.1.player.ES_learn3,welfare.1.player.Trad_learn3,welfare.1.player.MPLWhy,welfare.1.player.experience,welfare.1.player.experienceWhy,welfare.1.player.arkansas,welfare.1.player.arkansasWhy,welfare.1.player.warhol,welfare.1.player.warholWhy,welfare.1.player.cq1,welfare.1.player.cq2,welfare.1.player.cq3,welfare.1.player.cq4,welfare.1.player.cq5,welfare.1.player.cq6_treatments,welfare.1.player.cq6_ambiguous,welfare.1.player.feedback,welfare.1.player.feedbackDifficulty,welfare.1.player.feedbackUnderstanding,welfare.1.player.feedbackSatisfied,welfare.1.player.feedbackPay,welfare.1.player.cq1_mistakes,welfare.1.player.cq2_mistakes,welfare.1.player.cq3_mistakes,welfare.1.player.cq4_mistakes,welfare.1.player.cq5_mistakes,welfare.1.player.cq6_ambiguous_mistakes,welfare.1.player.cq6_treatments_mistakes,welfare.1.player.ES_learn_mistakes,welfare.1.player.Trad_learn_mistakes,welfare.1.player.ES_learn2_mistakes,welfare.1.player.Trad_learn2_mistakes,welfare.1.player.ES_learn3_mistakes,welfare.1.player.Trad_learn3_mistakes,welfare.1.player.timeSubmitted_PostCQs,welfare.1.player.timeSubmitted_Cases,welfare.1.player.timeSubmitted_Cases2,welfare.1.player.timeSubmitted_Cases3Explain,welfare.1.player.timeSubmitted_Cases3,welfare.1.player.timeSubmitted_ReviewStatements,welfare.1.player.timeSubmitted_PostMPL,welfare.1.group.id_in_subsession,welfare.1.subsession.round_number,welfare.2.player.id_in_group,welfare.2.player.role,welfare.2.player.payoff,welfare.2.player.confirm,welfare.2.player.ES_wtp,welfare.2.player.Trad_wtp,welfare.2.player.ES_learn,welfare.2.player.Trad_learn,welfare.2.player.ES_wtp2,welfare.2.player.Trad_wtp2,welfare.2.player.ES_learn2,welfare.2.player.Trad_learn2,welfare.2.player.ES_wtp3,welfare.2.player.Trad_wtp3,welfare.2.player.ES_learn3,welfare.2.player.Trad_learn3,welfare.2.player.MPLWhy,welfare.2.player.experience,welfare.2.player.experienceWhy,welfare.2.player.arkansas,welfare.2.player.arkansasWhy,welfare.2.player.warhol,welfare.2.player.warholWhy,welfare.2.player.cq1,welfare.2.player.cq2,welfare.2.player.cq3,welfare.2.player.cq4,welfare.2.player.cq5,welfare.2.player.cq6_treatments,welfare.2.player.cq6_ambiguous,welfare.2.player.feedback,welfare.2.player.feedbackDifficulty,welfare.2.player.feedbackUnderstanding,welfare.2.player.feedbackSatisfied,welfare.2.player.feedbackPay,welfare.2.player.cq1_mistakes,welfare.2.player.cq2_mistakes,welfare.2.player.cq3_mistakes,welfare.2.player.cq4_mistakes,welfare.2.player.cq5_mistakes,welfare.2.player.cq6_ambiguous_mistakes,welfare.2.player.cq6_treatments_mistakes,welfare.2.player.ES_learn_mistakes,welfare.2.player.Trad_learn_mistakes,welfare.2.player.ES_learn2_mistakes,welfare.2.player.Trad_learn2_mistakes,welfare.2.player.ES_learn3_mistakes,welfare.2.player.Trad_learn3_mistakes,welfare.2.player.timeSubmitted_PostCQs,welfare.2.player.timeSubmitted_Cases,welfare.2.player.timeSubmitted_Cases2,welfare.2.player.timeSubmitted_Cases3Explain,welfare.2.player.timeSubmitted_Cases3,welfare.2.player.timeSubmitted_ReviewStatements,welfare.2.player.timeSubmitted_PostMPL,welfare.2.group.id_in_subsession,welfare.2.subsession.round_number
11,b9pw5s6y,,0,0,36,,,,0,,,0.0,,,,1,,,,low,,5,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
12,lzque9pz,,0,0,36,,,,0,,,0.0,,,,0,,,,low,,2,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
13,4nzi2hz6,,0,0,36,,,,0,,,0.0,,,,1,,,,high,,4,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,13,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,13,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
14,syewjfn7,,0,0,36,,,,0,,,0.0,,,,1,,,,low,,1,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
15,uexfdzkl,,0,0,36,,,,0,,,0.0,,,,0,,,,low,,5,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
16,sdy8epbr,,0,0,36,,,,0,,,0.0,,,,1,,,,middle,,3,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
17,df095dyr,,0,0,36,,,,0,,,0.0,,,,0,,,,middle,,4,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
18,pk8ogv9a,,0,0,36,,,,0,,,0.0,,,,1,,,,high,,5,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
19,dim7opwz,,0,0,36,,,,0,,,0.0,,,,0,,,,low,,3,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
20,dlmseby2,,0,0,36,,,,0,,,0.0,,,,0,,,,low,,1,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,20,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,20,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
21,5nvgm4rb,,0,0,36,,,,0,,,0.0,,,,0,,,,high,,3,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,21,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,21,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
22,sv6l83wn,,0,0,36,,,,0,,,0.0,,,,0,,,,middle,,2,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
23,1ffxrspd,,0,0,36,,,,0,,,0.0,,,,1,,,,low,,4,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,23,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,23,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
24,jbpcx12q,,0,0,36,,,,0,,,0.0,,,,0,,,,middle,,5,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,24,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,24,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
25,tldgm8qc,,0,0,36,,,,0,,,0.0,,,,1,,,,middle,,6,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
26,fn9y33oz,,0,0,36,,,,0,,,0.0,,,,1,,,,middle,,5,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,26,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,26,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
27,mindmuga,,0,0,36,,,,0,,,0.0,,,,0,,,,low,,6,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,27,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
28,br0vn5y0,,0,0,36,,,,0,,,0.0,,,,1,,,,high,,2,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,28,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,28,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
29,xninjw1c,,0,0,36,,,,0,,,0.0,,,,1,,,,high,,3,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,29,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,29,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
30,0t4iv9jp,,0,0,36,,,,0,,,0.0,,,,1,,,,low,,3,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,30,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,30,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
31,iquuytw0,,0,0,36,,,,0,,,0.0,,,,0,,,,middle,,1,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,31,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,31,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
32,ecgrcd3t,,0,0,36,,,,0,,,0.0,,,,0,,,,middle,,3,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,32,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,32,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
33,ljn6p0jm,,0,0,36,,,,0,,,0.0,,,,0,,,,high,,4,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,33,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,33,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
34,c3e1vx4s,,0,0,36,,,,0,,,0.0,,,,1,,,,middle,,1,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,34,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,34,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
35,snx3s45a,,0,0,36,,,,0,,,0.0,,,,0,,,,middle,,6,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,35,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,35,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
36,96pcmt5w,,0,0,36,,,,0,,,0.0,,,,1,,,,middle,,2,6yc8zxrd,,,,,0,0,welfare,3.0,1.0,,36,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,36,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
