StartDate,EndDate,Status,Status_Label,Progress,Duration (in seconds),Finished,Finished_Label,RecordedDate,RecipientEmail,UserLanguage,Q5,Q5_Label,SocBackupMeta_Browser,SocBackupMeta_Version,SocBackupMeta_Operating System,SocBackupMeta_Resolution,SSPP_Confidence,SSPP_Confidence_Label,SSPP_ConRes_Top,SSPP_ConRes_Top_Label,SSPP_ConRes_Set,SSPP_ConRes_Set_Label,SSPP_Feedback,SocMeta_Browser,SocMeta_Version,SocMeta_Operating System,SocMeta_Resolution,SocRes,SocRes_Label,SocMeta_Browser.1,SocMeta_Version.1,SocMeta_Operating System.1,SocMeta_Resolution.1,SocResWhi,SocResWhi_Label,SocResDis,SocResDis_Label,SocNoResEdu,SocNoResEdu_Label,SocResNoSec,SocResNoSec_Label,SocDisOther,SocResEcoFie,SocResEcoFie_Label,SocResPsyFie,SocResPsyFie_Label,SocResPolFie,SocResPolFie_Label,SocResSociFie,SocResSociFie_Label,SocResThiOpeEdu,SocResThiOpeEdu_Label,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,sspp_associated,UserAgent,DeviceIdentifier,track_source
2023-08-25 13:50:10,2023-08-25 14:02:35,0,IP Address,100,745,1,True,2023-08-25 14:02:38,,EN,1,I agree,Chrome,115.0.0.0,Windows NT 10.0,1504x1003,3,Somewhat confident,2,No,2,No,,Chrome,115.0.0.0,Windows NT 10.0,1504x1003,1,Yes,Chrome,115.0.0.0,Windows NT 10.0,1504x1003,1,PhD student,1,Economics,,,,,,7,"Environment, Resource And Energy Economics",,,,,,,,,5,10,20,40,25,false,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",,
2023-08-25 13:49:45,2023-08-25 14:02:56,0,IP Address,100,791,1,True,2023-08-25 14:02:58,,EN,1,I agree,Chrome,116.0.0.0,Windows NT 10.0,1536x864,2,Slightly confident,2,No,2,No,,Chrome,116.0.0.0,Windows NT 10.0,1536x864,1,Yes,Chrome,116.0.0.0,Windows NT 10.0,1536x864,1,PhD student,1,Economics,,,,,,6,Economics Of Education,,,,,,,,,0,0,50,50,0,false,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,
2023-08-25 14:05:39,2023-08-25 14:13:43,0,IP Address,100,484,1,True,2023-08-25 14:13:44,,EN,1,I agree,Safari iPhone,16.6,iPhone,414x896,2,Slightly confident,2,No,2,No,,Safari iPhone,16.6,iPhone,414x896,1,Yes,Safari iPhone,16.6,iPhone,414x896,1,PhD student,1,Economics,,,,,,"19,20","Political Economics,Public Economics",,,,,,,,,25,35,20,15,5,false,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,
2023-08-25 16:15:21,2023-08-25 16:19:21,0,IP Address,100,239,1,True,2023-08-25 16:19:21,,EN,1,I agree,Safari iPhone,16.1,iPhone,393x852,3,Somewhat confident,2,No,1,Yes,,Safari iPhone,16.1,iPhone,393x852,1,Yes,Safari iPhone,16.1,iPhone,393x852,3,Faculty,1,Economics,,,,,,8,Experimental Economics,,,,,,,,,4,35,40,18,3,false,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",,
2023-08-25 16:44:55,2023-08-25 16:48:49,0,IP Address,100,233,1,True,2023-08-25 16:48:50,,EN,1,I agree,Safari iPhone,16.6,iPhone,393x852,1,Not at all confident,2,No,2,No,,Safari iPhone,16.6,iPhone,393x852,1,Yes,Safari iPhone,16.6,iPhone,393x852,1,PhD student,1,Economics,,,,,,"1,4,5,6","Applied Econometrics,Econometrics,Economic History,Economics Of Education",,,,,,,,,0,10,30,50,10,false,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,
2023-08-25 19:18:47,2023-08-25 19:20:47,0,IP Address,100,120,1,True,2023-08-25 19:20:48,,EN,1,I agree,Safari iPhone,16.6,iPhone,390x844,2,Slightly confident,2,No,2,No,,Safari iPhone,16.6,iPhone,390x844,2,No,Safari iPhone,16.6,iPhone,390x844,,,,,348,Some college,20,Other,,,,,,,,,,,,20,10,23,26,21,false,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,
2023-08-27 14:21:04,2023-08-27 14:25:40,0,IP Address,100,276,1,True,2023-08-27 14:25:41,,EN,1,I agree,Edge,116.0.1938.54,Windows NT 10.0,1536x864,4,Very confident,2,No,2,No,,Edge,116.0.1938.54,Windows NT 10.0,1536x864,1,Yes,,,,,3,Professor,1,Economics,-1,,,,,7,"Environment, Resource And Energy Economics",,,,,,,,,0,10,30,20,40,true,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 Edg/116.0.1938.54",,
2023-08-27 19:39:45,2023-08-27 19:46:17,0,IP Address,100,391,1,True,2023-08-27 19:46:18,,EN,1,I agree,Safari,16.5.2,Macintosh,1512x982,1,Not at all confident,2,No,2,No,,Safari,16.5.2,Macintosh,1512x982,1,Yes,,,,,4,Researcher,1,Economics,354,Doctorate or higher,,,,"2,7,8","Behavioral Economics,Environment, Resource And Energy Economics,Experimental Economics",,,,,,,,,10,30,10,40,10,true,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5.2 Safari/605.1.15",,
2023-08-28 13:36:23,2023-08-28 13:52:26,0,IP Address,100,962,1,True,2023-08-28 13:52:27,,EN,1,I agree,Chrome,116.0.0.0,Android 10,800x1280,3,Somewhat confident,2,No,2,No,,Chrome,116.0.0.0,Android 10,800x1280,1,Yes,,,,,4,Researcher,"1,4","Economics,Sociology",351,Bachelor's degree,,,,"3,13,15","Development Economics,International Trade,Macroeconomics",,,,,"1,3","Applied Sociology,Comparative Sociology",,,5,5,20,40,30,true,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,
2023-08-28 19:09:10,2023-08-28 19:17:33,0,IP Address,100,503,1,True,2023-08-28 19:17:35,,EN,1,I agree,Chrome,116.0.0.0,Macintosh,1470x956,2,Slightly confident,2,No,2,No,,Chrome,116.0.0.0,Macintosh,1470x956,1,Yes,,,,,1,PhD Student,1,Economics,-1,,,,,"2,8","Behavioral Economics,Experimental Economics",,,,,,,,,30,10,40,20,0,true,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,
2023-08-29 08:23:21,2023-08-29 08:32:45,0,IP Address,100,563,1,True,2023-08-29 08:32:46,,EN,1,I agree,Chrome,116.0.0.0,CrOS x86_64 14541.0.0,1300x730,3,Somewhat confident,2,No,2,No,,Chrome,116.0.0.0,CrOS x86_64 14541.0.0,1300x730,1,Yes,,,,,1,PhD Student,"2,4","Psychology,Sociology",-1,,,,,,,,,,,5,Crime And Delinquency,,,1,3,1,95,0,true,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,
2023-08-29 09:15:05,2023-08-29 09:18:35,0,IP Address,100,209,1,True,2023-08-29 09:18:36,,EN,1,I agree,Chrome,115.0.0.0,Windows NT 10.0,1280x720,2,Slightly confident,2,No,2,No,,Chrome,115.0.0.0,Windows NT 10.0,1280x720,1,Yes,,,,,1,PhD Student,"1,3","Economics,Political Science",-1,,,,,"11,12","Health Economics,Industrial Organization",,,"12,14","Public Administration,Public Policy",,,,,40,30,20,5,5,true,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",,
2023-08-30 13:33:31,2023-08-30 13:46:21,0,IP Address,100,769,1,True,2023-08-30 13:46:22,,EN,1,I agree,Chrome,116.0.0.0,Windows NT 10.0,1280x720,4,Very confident,2,No,2,No,,Chrome,116.0.0.0,Windows NT 10.0,1280x720,1,Yes,,,,,2,Post-doc,1,Economics,-1,,,,,"2,3,11","Behavioral Economics,Development Economics,Health Economics",,,,,,,,,0,0,0,50,50,true,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,
2023-08-30 16:37:44,2023-08-31 21:02:17,0,IP Address,100,102272,1,True,2023-08-31 21:02:18,,EN,1,I agree,Chrome,116.0.0.0,Windows NT 10.0,1536x864,3,Somewhat confident,2,No,2,No,,Chrome,116.0.0.0,Windows NT 10.0,1536x864,1,Yes,,,,,1,PhD Student,1,Economics,-1,,,,,"1,8,10,12,16,17","Applied Econometrics,Experimental Economics,Game Theory,Industrial Organization,Market Design,Microeconomic Theory",,,,,,,,,3,10,80,4,3,true,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,
2023-08-31 23:29:21,2023-09-01 02:51:06,0,IP Address,100,12105,1,True,2023-09-01 02:51:07,,EN,1,I agree,Chrome,116.0.0.0,Android 10,360x800,3,Somewhat confident,2,No,2,No,,Chrome,116.0.0.0,Android 10,360x800,1,Yes,,,,,1,PhD Student,1,Economics,-1,,,,,"3,7","Development Economics,Environment, Resource And Energy Economics",,,,,,,,,40,25,25,10,0,true,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",,
2023-09-01 10:21:13,2023-09-01 10:27:43,0,IP Address,100,389,1,True,2023-09-01 10:27:44,,EN,1,I agree,Chrome,116.0.0.0,Macintosh,1470x956,2,Slightly confident,2,No,2,No,,Chrome,116.0.0.0,Macintosh,1470x956,1,Yes,,,,,,,"1,-1","Economics,Innovation policy",-1,,,,,20,Public Economics,,,,,,,,,2,10,66,20,2,true,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,
2023-09-02 15:38:35,2023-09-02 15:58:06,0,IP Address,100,1170,1,True,2023-09-02 15:58:07,,EN,1,I agree,Firefox,115.0,Windows NT 10.0,1280x720,2,Slightly confident,2,No,2,No,,Firefox,115.0,Windows NT 10.0,1280x720,1,Yes,,,,,1,PhD Student,1,Economics,352,Master's degree,,,,"14,19,20","Labor Economics,Political Economics,Public Economics",,,,,,,,,5,25,40,25,5,true,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,,
2023-08-22 19:38:17,2023-09-03 02:11:34,0,IP Address,100,973996,1,True,2023-09-03 02:11:35,,EN,1,I agree,Chrome,92.0.4515.131,Android 6.0.1,320x570,4,Very confident,1,Yes,2,No,,Chrome,92.0.4515.131,Android 6.0.1,320x570,1,Yes,,,,,4,Researcher,"1,4","Economics,Sociology",351,Bachelor's degree,,,,"1,2,3,4,5,6,7,8,11,12,13,14,15,16,17,19,20","Applied Econometrics,Behavioral Economics,Development Economics,Econometrics,Economic History,Economics Of Education,Environment, Resource And Energy Economics,Experimental Economics,Health Economics,Industrial Organization,International Trade,Labor Economics,Macroeconomics,Market Design,Microeconomic Theory,Political Economics,Public Economics",,,,,"1,2,3,4,5,6,7,8,10,11,13","Applied Sociology,Collective Behavior,Comparative Sociology,Computational Social Science,Crime And Delinquency,Cultural Sociology,Demography,Deviant Behavior,Human Ecology,Industrial Sociology,Urban Sociology",,,10,10,10,10,60,true,"Mozilla/5.0 (Linux; Android 6.0.1; 4060S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36",,
2023-09-03 05:04:34,2023-09-03 05:13:52,0,IP Address,100,557,1,True,2023-09-03 05:13:52,,EN,1,I agree,Chrome,116.0.0.0,Macintosh,1728x1117,3,Somewhat confident,2,No,2,No,,Chrome,116.0.0.0,Macintosh,1728x1117,1,Yes,,,,,,,1,Economics,-1,,,,,"3,5,8","Development Economics,Economic History,Experimental Economics",,,,,,,,,3,7,20,30,40,true,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",,
