label,Trad_wtp3_bounds,ES_wtp3_bounds,treatment,mistakes_total,MPLWhy
5ecbe5e254cc883c02f52be8,"(200, inf)","(200, inf)",high,0.0,"If Alex is truly an avid admirer of Economics, he would rather have the real thing.  He would be willing to take the chance they are real, rather than a bonus and fake notes."
6462c584d3863d452bc1f8d2,"(7, 10)","(5, 7)",high,0.0,"I ultimately want Alex to have the one with the original notes.  If he doesn't know,the bonus lower.  If he does know, the bonus should be higher.  If he gets the fake notes and thinks they are real, that's dishonest and kind of mean.  If he knows and they are real it makes a better gift even if they are indistinguishable."
589a46af57995d0001a8a03a,"(25, 45)","(25, 45)",low,0.0,"I think he really wants the originals, but he would be happy with$45 and up as a bonus if he gets the fake ones."
645b64a4db6c2fa817932d6e,"(140, 200)","(140, 200)",middle,0.0,"If the notes were still genuinely correct identical notes from the professors, meaning they properly conveyed what each author had written, I think it would be more than acceptable to give Alex the copies/fake ones plus a $200 bonus.  It didn't stipulate that Alex was a collector of originally signed books, just that he admired the authors' works.  Having identical copies and an extra cash bonus would be a win-win scenario."
63bb4ea524b89495f4bad8af,"(70, 100)","(25, 45)",low,0.0,I feel if he has not been told whether they are real or fake then he can choose to believe they are and a lesser reward is better even though I would rather him have the real notes.  In Case 2 he will be told which one he received and since the odds favor him receiving the fakes I felt the bonus money should be larger to ease the blow if he does receive the fakes.
62d43cee3d60ac98c1dcacc8,"(0, 1)","(-1, 0)",high,0.0,I wanted to mix up my choices for answers to make the experiment in this study more interesting with more potential outcomes because of my different responses in Case 1 and Case 2.
63f7a84b6e32b3b093b7b241,"(0, 0)","(0, 0)",middle,1.0,"It doesn't affect me what Alex actually gets. Also, if the fakes are indistinguisible to the real one, then is it actually fake?"
5ceac8abb5a9d90001c07ec0,"(200, inf)","(200, inf)",high,1.0,"I believe Alex values original signatures more than he would value a bonus and that has more monetary value. If it was me, I would rather receive an original copy of a signature than a extra bonus. "
603e370c5ed1c2db2c3bde24,"(0, 1)","(-1, 0)",middle,2.0,"I think if hes told, he should know what to expect at that point. If hes not told, then i would just think it doesnt matter as much to him. "
62def0e20f5de21c88a7ffe7,"(15, 25)","(15, 25)",high,1.0,In order for me to give Alex fake notes I feel like it would have to be worth it. I felt 25 dollars and above would be worth it to give Alex the fake notes. Other than that it would be pointless to me. 
628b8ef9ef5432197c27bbc9,"(140, 200)","(100, 140)",middle,0.0,I just think that he could probably use the money along side the fake notes if he doesn't know or enough money to satisfy him even if he knows
5a8c2da3eea3d300016ea27c,"(15, 25)","(7, 10)",high,0.0,If he does not know then he might as well get extra money whatever the amount is. 
55ad1d55fdf99b4c8f9941d4,"(200, inf)","(0, 1)",low,0.0,"I believe that him knowing that the books are ones that were physically written on by the professors is worth more to him than $10.  Probably, maybe he thinks that the fakes are more interesting because the profs saw and were presumably impressed by them, but I'm not going to assume.  If he's going to end up wondering, he's probably assuming they're fake anyway."
63b6c0245a6de54b28e6ef89,"(140, 200)","(70, 100)",high,0.0,I chose him getting money with the fake notes starting at $100 in the case 1 because he won't know if it was original or not and therefore doesn't know if the notes make it more valuable. In case 2 I chose $200 and fake because I didn't know if the original would be worth that much but he would know and most likely anything less would be worth less than the original notes.
60fd6a2e013bff4b729c6dec,"(70, 100)","(0, 0)",high,0.0,"If Alex, nor the authors can tell the difference, I think that Alex will assume they are real and be happy!"
6036a2f8ca97af126e1e0706,"(3, 5)","(-1, 0)",middle,0.0,"I think that for Case 1 knowing whether the books are the original or fake influences which books I would prefer Alex to have because it is probably more likely that he would prefer the originals. But if he doesn't know such as in case 2, the added bonus of cash would offset the possibility that he got fake ones. "
631f3abc8826b6e7e8982648,"(200, inf)","(100, 140)",low,0.0,"If you're not telling him AND giving him a large amount of money, might as well give him the fake with the money. If you're telling him the book is a fake, I don't think he'd want it no matter how much money you gave him. "
647bbb93aebd39c3a3c3a400,"(0, 0)","(10, 15)",low,2.0,I gave those answers Base on the case's presented and the benefits attached to them 
5ba259603bf2350001a54284,"(70, 100)","(0, 0)",low,0.0,"I was considering changing the dollar value at which I would say the fake notes were ok, but then reconsidered."
58e558cc728bea0001bbda24,"(200, inf)","(70, 100)",middle,0.0,"I think if he knows, it would mean more to him, whether original or fake...he will feel a certain way, whereas, if he doesn't know, it won't really matter"
641386b1cb9a9c1e3569d4ee,"(140, 200)","(2, 3)",low,1.0,"I don't want to deceive Alex.  I don't think the bonus makes any difference, I would want to be as truthful as possible."
5ebe015ae70ab70008895dbd,"(0, 1)","(0, 1)",high,0.0,"I think that since the fake notes were just the same as the original, it shouldn't really matter to him. Plus, he gets to earn and extra dollar in this scenario. I put myself in this position and went with the outcome I would want for myself as well."
6172b88315142e4eaa555c95,"(15, 25)","(-1, 0)",middle,3.0,"The different responses in Case 1 and Case 2 are due to the specific instructions given in each scenario. In Case 1, where it's stated ""we WILL tell Alex,"" I'm following the instruction to affirm that information will be shared with Alex. In Case 2, where it's stated ""we WILL NOT tell Alex,"" I'm again adhering to the given instruction, indicating that information will be withheld from Alex. The responses are based on the wording and intent of each scenario to ensure consistency with the provided instructions."
60fcb2b45504d8488ab13968,"(25, 45)","(7, 10)",middle,0.0,"If Alex does not know, the books are about the same value to him. If he does know, I think the real one would be worth more to him and he'd want more money if he gets the fake one"
63b4a880e615d21a58306118,"(70, 100)","(70, 100)",low,1.0,The primary payoff are the books and regardless of the money the books and the knowledge is most important.
571e332b1bdf1a00119149f2,"(140, 200)","(140, 200)",low,0.0,I realized that I did not change my mind about my original answers.
62c41fe598ab94de4d4f021e,"(0, 1)","(-1, 0)",low,1.0,I did so because since whichever way he will either receive a fake note or the original one
60ae888883acfc2413cc459b,"(0, 0)","(0, 1)",high,1.0,i just like to mix it up
5a53e59af6c5170001949a39,"(70, 100)","(70, 100)",low,0.0,"I believe Alex deserves to get the real notes, so if they are fake then he deserves to be compensated to make up for it. "
5b9ec956c8a17f000171f7ad,"(0, 1)","(0, 1)",middle,0.0,"The notes look the same and contain the same content, so I don't think it matters whether it is the real version or not. So I would give Alex the real version if there isn't a bonus and the fake one if there is a bonus. Getting the bonus is more valuable than having a real version of the note. "
63d7d0047975f39570dfa810,"(200, inf)","(200, inf)",high,0.0,I feel he should get the book with the original notes. Whether he knows or doesn't no doesn't change that I believe it would only be fair to give him the book with the original notes.
63e84a9ea3f6d5acdc598a6a,"(200, inf)","(100, 140)",middle,0.0,"In regards to Case 2, Alex would more than likely find having the original notes to be invaluable. He loves Economics, so he more than likely wouldn't put a price on obtaining something like original, hand-written notes from professionals he already respects. On the other hand, in Case 1, if he's not able to ever know the difference, at a certain point, money is more valuable. And if he never knows the difference, then what is the harm?"
5d45c2d1da9cb60015aa4312,"(1, 2)","(0, 1)",low,2.0,Cause I felt that Alex would want to know when he could what he would get.
58404dae32e21e0001f80519,"(25, 45)","(0, 0)",high,0.0,"If the notes are indistinguishable from one another, and if he is not going to be told in case 1 whether the notes are fake or original, then it would be better for him to receive the bonuses. However if he is going to know that the notes are fake, I felt the monetary bonus would have to be enough incentive for him to be fine with the notes being fake."
5f91d9adb450ef0b0940c4bd,"(15, 25)","(45, 70)",high,0.0,"Alex knowing the notes are fake diminishes their value to him, so payment to make up for that felt warranted."
63ea57ad96938519ddfa4e51,"(-inf, -1)","(-inf, -1)",low,1.0,"I chose the fake notes consistently in both Case 1 and Case 2 because there was a higher chance of Alex receiving the fake ones in both scenarios. However, I always preferred Alex to get the original books with the notes from his favorite economists, as they hold sentimental value for him."
5c46353e11509900018e24b4,"(200, inf)","(100, 140)",middle,0.0,"If he's going to find out, I definitely would feel bad giving him the fake notes. If he doesn't find out, it would still be nice for him I think to have the real ones, but when you add a lot more money into it, he may appreciate the money as well. "
628f76b86068bc13224921ce,"(7, 10)","(0, 1)",low,0.0,"I gave different answers because if he is not told, he'll probably will think it is fake anyway. This way even though he is wondering about if it's real or not, he can get a little something extra."
5dee8ee31255595293a9906b,"(70, 100)","(70, 100)",high,0.0,"I'd prefer Alex receive original notes, but otherwise it would be nice to give him a fair bonus either way!"
644e44af7a8a169a3a8ffd52,"(0, 1)","(25, 45)",middle,1.0,It was quite difficult 
5dd4c2f2390fb648f7baf4d2,"(0, 1)","(0, 0)",high,1.0,"because if he don't know it wont hurt him, but if you tell him then he will be mad probably"
58d552e09dbe3f00012591f2,"(2, 3)","(2, 3)",middle,2.0,I would prefer and feel better that Alex receive the original notes and not a fake since this is something that he really enjoys. I feel it would be more meaningful to him.
647665d88d8d555b082b9604,"(3, 5)","(3, 5)",high,1.0,"I assume he'd prefer the original notes, but it's not that big of a deal so my threshold to switch to fake notes + bonus was pretty low.  It doesn't matter whether he's told or not, the notes are the notes."
5b211cda68a5ed000173e9c0,"(200, inf)","(25, 45)",middle,1.0,"I'd rather him get the real notes up to a certain dollar amount, especially if he's going to know if it's fake or not. It would mean more to him. However if he doesn't know, then might as well compensate him a bit."
5a78e410ae9a0b0001a97274,"(25, 45)","(25, 45)",high,0.0,"i think he would value the notes more than money, and it would be important to me that he gets the original notes"
6331b9456956d880a1e4632f,"(15, 25)","(25, 45)",high,0.0,"I felt that the first case was more valuable in my opinion as Alex would be told whether the books he got are the ones with the original or fake notes. In the second case, you will not tell Alex whether the books he got are the ones with the original or fake notes. without him knowing, I thought that the value would be different. "
58f1017ac325470001795b01,"(10, 15)","(-1, 0)",low,0.0,If you aren't going to tell them then it doesn't matter what books he gets because the handwriting looks the same. I think if you tell him then it should be the real ones because otherwise it would be a big disappointment.
61283769a39dd638c256540c,"(70, 100)","(70, 100)",high,2.0,"They are notes, not diamonds, just give him the damn original notes. These are not Britney Spears Autographs for Chrissakes! I figure $100 is fair for not getting the real notes whether he knows or not."
63d04a5f7878a7b80ffc1a23,"(70, 100)","(-inf, -1)",high,0.0,"I imagined Alex was pretty excited to meet the author. After further consideration, I did not want to hurt Alex's feeling finding out he had a fake copy. So, I changed my answer."
5e84bd7c34d5d9072128fac1,"(15, 25)","(3, 5)",middle,0.0,"It doesn't really matter in Case 2 because Alex will not know if they are real or fake. I could have went with 1 dollar, but felt like 5 was just a better number. "
5d37ad921c16bb0015281337,"(3, 5)","(0, 1)",low,0.0,Because in the first Case he will never know but in the second case he would.
6032f9d56de00f37d060a779,"(70, 100)","(7, 10)",low,0.0,Because there was a high chance that he would not be told in case 1 and in case to he will be told 
6162d7f2f4d650e7eec2e5b7,"(200, inf)","(25, 45)",middle,1.0,"If he never learns and you truly can't tell the difference, I would probably give him the fake ones for $45 or more. He would not ever know and they look realistic. However, if he does know I want him to know they are the real ones. "
6465cd750298e0714b6391cf,"(25, 45)","(0, 0)",low,0.0,"Since Alex love economics, I tried as much as possible for him to receive the book with original handwriting but if for some reasons he end up with the fake book, I tried to let him have a reasonable compensation in addition to it."
63f7cf04c7b1a4c4972e9254,"(200, inf)","(200, inf)",high,0.0,"Since Alex admires the authors, I think he would prefer to have the original handwritten notes over the fake notes and any of the amounts of money offered."
5e07d174da6bad1342bafab2,"(1, 2)","(-inf, -1)",middle,1.0,Because in case 2 I felt he would rather know what he was getting and the larger bonuses.
5b342c9da2982a0001dd9f25,"(200, inf)","(200, inf)",middle,0.0,"Because Alex is interested in economics, providing the books with the notes from the original authors (I believe) has more intrinsic value to him rather than passing off facsimiles and buying him off with cash."
632e9aa62793c18a857aece4,"(1, 2)","(1, 2)",low,2.0,In either case Alex is going to get free books and I think that is the big take away. 
63d18d8eafb7fb418594761a,"(200, inf)","(200, inf)",low,1.0,I think he would like the original notes based on his interest in economics. 
63c16f0c495b7a4849e44651,"(15, 25)","(15, 25)",low,0.0,If he knows he will receive either one does not enter into my thoughts on whether or not or how much of a bonus I give him
5f96e38dbecb16000867dfa1,"(15, 25)","(7, 10)",high,0.0,"If Alex knew the books were fake, he deserved a bigger cash reward. If Alex did not know, he deserved less cash."
55aeaeb3fdf99b5c769f1f7c,"(200, inf)","(15, 25)",low,2.0,I think that if Alex knew he had the original notes he would prefer that over any reasonable amount of money because he is such a big fan of the authors.  On the other hand if he does not know and there is no way to tell if the notes are original then I personally wouldn't value the original notes more than about 25 bucks and therefore would give him any amount of money over that amount.
5c1b97f889f0350001726def,"(15, 25)","(140, 200)",middle,0.0,Tring to maximize profits for Alex..he will not know if they are fake or not.
6455192ec038073c909979c3,"(140, 200)","(45, 70)",high,0.0,If he never know then he wont understand why he received a certain bonus so I just wanted to make the bonus have a value similar to what I value the books at. If he knows he got a fake then I would want him to receive the max bonus possible to not feel cheated. 
62bd685ac3edc9ad0d77812b,"(-1, 0)","(-1, 0)",middle,0.0,This is because there might be a chance of getting the original one
63213cae8cfeef4aa57d329f,"(70, 100)","(70, 100)",middle,1.0,I don't think the fact that he finds out if they are fake impacts how I feel about this. It would be better for him to get the original notes but for a bit of cash then the fake notes seem a bit more worthwhile.
637d66726deca3adc9d0081c,"(70, 100)","(15, 25)",low,1.0,"In Case 1, where Alex is not informed about whether the books have original or fake notes, I focused on providing advice that would allow Alex to make an informed decision without any preconceived bias. This approach was aimed at helping Alex navigate the situation independently.    In Case 2, where Alex is informed about the authenticity of the notes, I tailored my responses to align with the assumed scenario that Alex is aware of the notes' authenticity. This allowed me to provide more specific guidance based on the information available to Alex."
63b7566ea98814782bc51d9b,"(3, 5)","(-1, 0)",high,2.0,"In Case 1, I emphasized the importance of Alex's personal values and how they might lead him to choose the books without the notes, as he prioritizes authenticity and honesty. In Case 2, I highlighted the potential influence of external factors, such as societal expectations and the possibility of receiving the fake notes, which could sway Alex's decision. The responses were tailored to reflect different factors that could shape his choice in each scenario."
5a4ff86beedc32000141f232,"(0, 0)","(25, 45)",high,1.0,Since he knows I guessed it wouldn't matter in the 2nd choice.
5d88f010859c9e0001810e88,"(200, inf)","(0, 0)",low,0.0,"It;s similar to ignorance is bliss. If you are going to tell him I would not want him to be disappointed. If he would never find out anyway, it would not matter one way or the other and I would want him to have the highest bonus. "
5589629dfdf99b72ead88339,"(70, 100)","(25, 45)",middle,1.0,"I think there is value in the original notes. If Alex is unsure, I think he will be happy with a lower amount of money compared to scenario 2."
5e00f9a211999fcea4169800,"(70, 100)","(70, 100)",low,0.0,"I believe that he would prefer to have the original and I would definitely prefer to give the original, however the $100 point is the threshold "
5a381de00006450001bf2691,"(200, inf)","(200, inf)",high,0.0,"Since Alex is a big fan of economics, I think having the real notes will be more cherished by him than any small amount of money."
5d4254db5b2c430001418a3c,"(200, inf)","(1, 2)",middle,1.0,"I would rather he had the official notes with the books. But, if he doesn't know either way if they are real or not and will never know. I'd rather he had money as a bonus."
61523fa4dff0567aa388e758,"(25, 45)","(25, 45)",middle,0.0,It doesn't really matter if you tell him or not. You should give him the books with the original notes. The point at paying him is for buying his own copies without the notes since you really won't know one way or the other if they're real.
6337ea706606e30e6f01592f,"(15, 25)","(15, 25)",high,1.0,"The original notes are always preferable whether they know or not, but once financial compensation was high enough, the benefit out weighed the risk."
5eb81d360943fe74d6aba62b,"(200, inf)","(0, 0)",middle,1.0,"If Alex does not know whether the books he got are original and they are indistinguishable even to the authors themselves, then I believe there is no consequence to whether he receives the original or fake notes. I believe the saying ""What you don't know can't hurt you"" applies in case 2 so it doesn't really matter which he receives."
6272abac31a465b0f22fb7c1,"(0, 1)","(0, 1)",high,1.0,I want Alex to get the bonus either way. 
5e3bb7770e53243ce0376fe1,"(70, 100)","(70, 100)",middle,0.0,I don't know how much those original notes are worth to him so I just tried to put myself in his shoes as best as I could. 
629aaa38fdfc8168501b930e,"(200, inf)","(200, inf)",high,0.0,"I think having the originals is the most valuable scenario, and that $200 doesn't really make up for that loss."
57a2b3e1dcff7d0001c7d0dc,"(200, inf)","(70, 100)",high,0.0,"He doesn't know it's fake and get some money, which I think is an okay alternative."
5f7d4a2c5db79d21c7d07240,"(25, 45)","(15, 25)",low,0.0,"I think that the threshold for the surprise bonus is a little higher for the fake notes when Alex knows, but if Alex doesn't and can't know, a lower surprise bonus would still be okay"
637ebcb105dec9012b030bd7,"(15, 25)","(70, 100)",high,1.0,"I felt in Case 1 there was some deception and for that reason I thought more money was in order. In case 2, there was no deception but still felt there should be some compensation for the fake writing. "
558955ebfdf99b6bd06016c9,"(15, 25)","(45, 70)",high,0.0,There is some additional risk in not having knowledge of whether the notes are real or fake. I think Alex should receive a larger minimum bonus to account for that risk and the potential 'damage'.
55dc915b50a1f7001190ddb4,"(0, 0)","(0, 0)",low,2.0,Because I could not care less which books he receives.  Why would I?
62e02660c3ef175825ab7655,"(70, 100)","(15, 25)",low,1.0,If you were going to give him the fake one might as well pay him for it. I felt it would be better to just give him the real ones.
62865960812a0a8c397f9b28,"(70, 100)","(0, 0)",middle,0.0,He would not know if he got the real or not.
605247e21ff59d8d1d6887fd,"(15, 25)","(15, 25)",low,2.0,"It didn't really matter for me which Case it was, only the amount of money Alex would receive, so I focused on the amount rather than the books. I believed both situations were equal as long as the amount of money he received was the same. "
5dd309d351c6d23192626706,"(70, 100)","(25, 45)",high,0.0,"If Alex knows whether they are real or fake, I think it would take more convincing (ie a bigger bonus) to make him want the fake notes. If he never knows, it may not necessarily ""matter"" to him."
60838e2e91a6300001f9ac89,"(70, 100)","(25, 45)",middle,1.0,"Because, if he knew that the notes were fake I feel that a higher bonus would lessen the disappointment of having fake notes. On the other hand, if he was unaware then he wouldn't mind a lesser bonus."
6172ba772342dcc9343a29db,"(-1, 0)","(-1, 0)",middle,1.0,"The responses are the same in both cases because I'm adhering to the provided instructions. In Case 1, where it's stated ""we WILL NOT tell Alex,"" I confirm that information will be withheld from Alex. In Case 2, where it's stated ""we WILL tell Alex,"" I confirm that information will be shared with Alex. The responses align with the wording of the scenarios to ensure consistency with the given instructions."
5f2469423f17ce03bf6bec8b,"(0, 1)","(0, 1)",low,0.0,I think it's important to be honest with a person and let them know what they are receiving.
5d9373b0e04970001ab482da,"(45, 70)","(10, 15)",low,0.0,"I felt that if Alex doesn't know whether or not the notes are fake, and given that the fake notes are identical to the real ones, it would be nice, for Alex's sake, to give him access to a bonus, if the bonus is large enough."
5e0b388b15ef4037cebdecc9,"(200, inf)","(200, inf)",low,2.0,It's a gift.  Gifts should be honest and not about the money.  If you are rating gifts on these two categories then it isn't a gift.  
56c984eb10a82f0006ffd111,"(0, 1)","(0, 0)",high,6.0,I feel the additional bonus offsets receiving the fake book especially when one cannot differentiate between the real and the fake writing.
5658d6d67d69570012dfe258,"(70, 100)","(25, 45)",low,0.0,"I thought if he was not going to know if they were fake or not then the threshold for him getting a bonus should be lower. At least, I think that was what I was thinking. This scenario is a little weird to be honest."
5eb074c7e612c1129942044c,"(200, inf)","(200, inf)",middle,1.0,Alex is a fan of both Professor Roth and Milgrom. The intrinsic value of original signed notes within the books by these men exceeds monetary reward.
5e175705cfe8dc000b559793,"(0, 0)","(140, 200)",high,0.0,I would want Alex to know if he got the fake notes or not. 
632aaef27780d596dc7e0a9f,"(70, 100)","(45, 70)",middle,0.0,"With the original, where Alex wouldn't know if the books he got are original or fake notes, i think with a little bonus Alex would be extremely satisfy with the books.  In case two where we will tell Alex whether the books he got are the ones with the original or fake notes, he might no be okay whether its original or fake notes, so to compensate him we need to make the bonus a little higher."
63f0fb9941434d10e8e4909b,"(25, 45)","(15, 25)",middle,1.0,"I'm inclined to give books that are signed with real notes, but then you throw money into the equation!  For Case 1 I just thought it'd be a nice bonus for him, considering he'll never know about the note.  In Case 2, I thought that if he knows the signature is fake, it'd devalue the book in his mind, so I thought that $45 would at least cover the value of the book itself, given that he might not to want to resell it at a later point given the fraudulent note."
5fb69cacddba6408f81a9564,"(200, inf)","(70, 100)",low,0.0,"I believe that if he will never actually know if they are real or fake, he would likely assume they are fake, and therefore would appreciate an extra cash bonus. In the case that he will know, there is a chance he gets the ultimate prize - which are the original notes - which would be more valuable to him than any case bonus. "
627e7b6d33e1df14160c05ba,"(3, 5)","(0, 1)",high,0.0,"Because the original notes might mean a lot to him, and if he knows they're fake, the book might have less value to him. But since the professors couldn't even tell the difference between the handwriting, then it's best to give the fake notes and the bonus because Alex will not know it's not the original, therefore, it will likely be just treated as the original notes, plus, he will also get a bonus."
5f8e374790bf7f212e779735,"(200, inf)","(70, 100)",high,0.0,if he will never know which notes he has then he might as well get some money as well. 
5b6dbd2384a7760001c9c7fd,"(10, 15)","(0, 0)",low,0.0,"If Alex knows which note he is getting, I would prefer for him to get the real notes.  However, if he is also getting a lot of money along with an indistinguishable fake note then it doesn’t really matter."
60fec21e36a05990cfa8a715,"(70, 100)","(70, 100)",middle,0.0,"considering how personally valuable to original notes would be to alex given his admiration of both professors, i believe the fake notes are only worth getting when the bonus is a decent amount. "
6435b95691d542284002bc90,"(200, inf)","(200, inf)",low,0.0,"I don't like tricks and games like this. I sure as heck don't like lies. I struggled with choices on the higher amounts especially where he would know what he is getting. From my perspective as a non-fiction reader...if there was an author that I really liked and respected, I would much rather have real notes to value rather than the money. I don't know what Alex would think but I prefer truth over lies in everything. It helps one sleep better."
6140d7cdf9bc6016591c2878,"(45, 70)","(25, 45)",high,0.0,My thinking was if he is not ever going to know if the notes are real and he thinks there is a 75% chance that they are real then he might like to have the extra $45. If he knows the notes are fake I think he would rather have the real notes instead of the money up to $70. To some people it would mean more to have the real note than the money.
6278700097208c3f1b717481,"(45, 70)","(45, 70)",middle,0.0,Since Alex is such a fan of Economics I thought he would have a lot of value in knowing who signed the book and to have it actually be an authentic signature so at least $70 would be a good incentive to accept a fake signature.
5e3606315bfa435ce4d6246c,"(70, 100)","(45, 70)",high,0.0,"Since he will definately know if Case 2, getting $100 will soften the blow that they are fake.  In case 1, getting less money is still nice."
5e42f74f5b772a18434cabf7,"(200, inf)","(200, inf)",middle,0.0,I feel that Alex would like the real notes due to his admiration for these two men. I believe the real notes even though no one can tell are more valuable than money. I think Alex will feel the same way.
63861659d989762ac18f4ace,"(200, inf)","(200, inf)",high,1.0,"I feel like someone who loves this topic (economics) and who loves these professors' work, would rather have those books for the rest of his life with the real notes, than have a couple hundred dollars now. I realize he's a student, but he's studying a fairly lucrative field, so he's probably not so poor that he'd rather do the trade off."
5ff8b291840bed124061d389,"(70, 100)","(0, 0)",high,0.0,Because if he doesn't know it doesn't really matter to me which book he gets. 
6333657a797e9a2d19d4efd5,"(-1, 0)","(-1, 0)",low,0.0,I don't know. 
5c3388fa01439b0001a0adfe,"(200, inf)","(200, inf)",high,0.0,Alex deserves the original notes no matter what the cost. The gift is priceless if he really is an economics enthusiast.
63eba3f11d699385d1d4075d,"(0, 1)","(0, 1)",high,0.0,I don't think the note means much to Alex either way. The literal author can't distinguish his hand writing from the fake and why should Alex care. Getting a little bonus would be worth a lot more in my opinion. 
5a33d736bf4d770001e6097a,"(45, 70)","(45, 70)",middle,0.0,"I feel that regardless, he would more than likely want the original notes. However, as these authors aren't known to me and seemingly write about economics, I'm not seeing their handwritten notes being worth much in the future. In each case, I decided to stop the $0 at the point where I felt the money was worth more than the writing."
5ed2bb7a67d51b24b2ac4037,"(10, 15)","(10, 15)",low,0.0,In either the case that Alex suspects he did not get the real notes or he suspects that he did get the real notes I would prefer Alex gets the real notes. However I suppose if he does not get the real notes (which are identical in any case) I suppose I would want him to have some sort of compensation for the authenticity or rather the perceived lack thereof. Therefore in the case of him getting the fake notes I would like for him to have enough to maybe purchase another book and I figure in both cases the amount I chose is enough for him to do so.
63d672fd60ac772cd04cc33b,"(2, 3)","(7, 10)",low,0.0,I wanted to make sure he gets a good bonus if he does not get the books with the original notes.
6482c5058949aa16f72e52ff,"(200, inf)","(45, 70)",low,0.0,"Since you will tell Alex whether the books he got at the ones with original or fake notes, it is most likely that Alex will trust you so I chose the books with original notes instead of rewards."
