,,,"Is the text inconsistent with the responses? [Yes, No (accepting near-consistency)]","Does the text exhibit a misunderstanding of a part of the instructions? [Yes, No]","Does the text exhibit an understanding of the difference between the two cases, either explicitly or implicitly? [Yes, No]","Is the text likely to be generated by ChatGPT or similar? [Yes, No]",
"(200, inf)","(200, inf)",low,no,yes,no,no,These are for a present and Alex loves economics and these professors therefore it is more about the gift then the money. He deserves the original notes and does not need to know which is fake or original as it would only make him feel disappointed.
"(15, 25)","(0, 0)",middle,yes,yes,no,no,I want Alex to at least get a reasonable amount of money because he got fake notes.
"(45, 70)","(0, 0)",middle,no,no,yes,no,"With Case 1, even if Alex did get the books with the original notes, there's no way he would know. He might still suspect that the notes are fake so that's why I was indifferent. In Case 2 where Alex would know, I thought he would definitely prefer the original notes up to a certain point."
"(1, 2)","(1, 2)",high,no,no,no,no,"If I were in Alex's shoes, the notes would not matter to me. It's always good to get extra money."
"(0, 0)","(0, 0)",middle,no,no,no,no,i just feel neutral about it because i dont know how much he would value notes from authors if they were to be fake or real
"(0, 1)","(0, 1)",low,no,no,no,no,"I think I want him to get the originals, unless he gets extra bonus for the fake ones. I don't want him to feel scammed."
"(15, 25)","(10, 15)",high,no,no,yes,no,"I think whether or not he is told with certainty about the books impacts my decision. If he isn't told, he can kind of live in ignorant bliss and assume that he has the originals, but if he is told, he could find out they aren't the originals and might be disappointed."
"(15, 25)","(25, 45)",low,yes,no,no,no,I just wanted to cover all scenarios that were presented to me equally.
"(25, 45)","(0, 0)",low,no,no,yes,yes,"I was indifferent about Case 2 because the authors themselves can't tell the difference and the fake ones have the same messages that the authors wrote intending for Alex. Since no one will ever know which is which, money and the fake will always be better. For Case 1, I believe there is value to the originals and if the signings are fake it takes some of the value away. Therefore, since Alex will know whether he's receiving the fake or originals, the money is a bit of a consolation and always appreciated!"
"(7, 10)","(7, 10)",low,no,no,yes,no,"I chose the same answer in both cases because I think Alex would like the money regardless, and wouldn't mind the fake notes so much."
"(25, 45)","(25, 45)",middle,yes,no,yes,no,"Since these two authors/professors are Alex's favorites, I think he would want their original notes over the fake notes even if it means he would not get a substantial bonus. Even if he doesn't know whether the notes are original or fake, I chose the same response because, if he ever did find out he got the originals, it would probably be worth a lot more than the bonus under $45."
"(70, 100)","(15, 25)",middle,no,no,no,no,I would rather get Alex the original notes in the books than not. But if it was determined by the bonus he received and then I would rather him get a higher bonus and fake notes
"(200, inf)","(200, inf)",high,no,no,no,no,"Quite simply, I just value authenticity over fake-anything. And I suspect Alex would feel the same way, preferring the authors' authentic handwritten notes above fraudulent writings + any amount of bonus."
"(-1, 0)","(-1, 0)",low,yes,no,no,no,"I want Alex to get as much from this as possible.  Since the notes are not his real reason for wanting the books, and they are identical to the notes the authors wrote, I want to see Alex get the books and as much money as possible"
"(200, inf)","(70, 100)",middle,no,no,yes,no,"When I felt like Alex could benefit more from the monetary bonus versus receiving the real notes and no bonus, I selected the fake notes and the bonus. I felt like Alex could benefit from a $100 or greater bonus considering he would not find out about the authenticity of the notes. I feel like the authentic notes would be of great value to Alex and would not want him to find out he received fake notes."
"(2, 3)","(45, 70)",low,no,no,no,no,I feel like this would make the most sense and based on what I personally think Alex would prefer.
"(15, 25)","(0, 0)",middle,no,yes,yes,no,"If we tell him, we want to be truthful about what we're telling him. If we don't tell him, there wouldn't be any direct lying?"
"(0, 0)","(0, 0)",high,yes,no,yes,no,The fake notes were so authentic that even the Professors couldn't tell the difference and I don't know Alex so really don't think it makes a difference and he might as well get some $$ if they are fake
"(200, inf)","(200, inf)",low,no,no,no,no,Because he admires the authors and getting books that have original notes written by them would mean a lot to him and I don't see any point in giving someone a book with fake notes even if it is accompanied by money.
"(7, 10)","(5, 7)",high,no,yes,yes,no,"In case 1, he knows he has the authentic notes which are valuable and have value to him.  In case 2, he doesn't know even if they are real, so he should get some money with his decision."
"(140, 200)","(70, 100)",high,no,no,yes,no,In Case 1 where he learns that they're not fake I chose more money to make up for the fact that he knew they were for sure fake.
"(1, 2)","(0, 1)",middle,yes,yes,yes,no,"If Alex won't be told whether they are the original or fake notes, I think the bonus is more important. If he is told which is the original and the fake, I think if there's no bonus or just a small one he should receive the original signatures. For the higher bonuses, I think whether the notes are the original or fake is less important. "
"(-inf, -1)","(25, 45)",high,no,yes,no,no,"I was thinking about the chances. Sometimes even if it's a 75 percent chance of something, it doesn't mean that it will happen. "
"(0, 1)","(-1, 0)",middle,yes,yes,no,no,"I wanted to maximize the bonus, thus I chose different responses accordingly. "
"(15, 25)","(70, 100)",high,no,yes,no,no,I wanted to see what the results would be.
"(15, 25)","(15, 25)",middle,no,no,no,no,I chose the same responses because I think that the 25 will be worth getting regardless if the notes are fake or not.
"(140, 200)","(140, 200)",middle,no,no,no,no,"I think it would be nice to give Alex the maximum bonus whether or not he receives the books with original or fake notes. Of course, I do hope that he gets the books with the original notes because they would be even more special to him."
"(0, 1)","(0, 1)",high,no,yes,no,no,"No reason, just wanted to include the bonus in Case 2."
"(200, inf)","(200, inf)",low,no,no,no,yes,If it were me no matter how much I actually need the money the value of knowing my favorite author had penned the note in a book I received outweighs that. Even if he receives the fakes I hope he never finds out. If he is truely passionate about economics and respects these 2 professors as much as I respect my favorite authors then there's just something special about having a book of theirs in which they penned a note to the reader.
"(45, 70)","(25, 45)",middle,no,no,yes,no,"To me, it matters whether or not he knows. He should get a larger bonus if he is to know."
"(45, 70)","(0, 1)",high,no,no,yes,no,"It seems like if Alex never knows, we would be happy with the additional money. But if h is going to figure out they are fake, I feel like it would take a certain threshold of additional gifts to make it worthwhile."
"(15, 25)","(0, 1)",high,no,no,yes,no,"If Alex finds out, I want him to receive a decent amount of money for getting the books with the fake notes. If he never finds out, it won't make any difference, so I want him to have the money no matter what."
"(7, 10)","(-inf, -1)",low,no,yes,yes,no,"If Alex doesn't know whether he has the fake notes or not, he might as well just get the fake ones. He won't be affected either way because he doesn't know which is which."
"(200, inf)","(200, inf)",middle,no,no,no,no,"The keys here are that Alex likes economics and there is no indication of any financial distress on his end. Therefore, I believe that having actual, original notes from the authors is invaluable."
"(70, 100)","(45, 70)",middle,no,no,yes,no,"The distinction in responses between Case 1 and Case 2 is based on whether Alex is aware of whether the books he received contain original or fake notes, guiding the advice provided in each scenario."
"(70, 100)","(70, 100)",low,no,no,yes,no,I believe that he should get the books with the original notes whether he knows it or not.
"(70, 100)","(70, 100)",high,no,no,yes,no,"I believe that Alex really does want the original notes, but like most everyone has a price he is willing to accept to get the money instead of the original notes. I think in case 1, Alex would sacrifice his original notes for $100 and would be ok with it. Similarly, in case 2, he could get the same money, and even if it is not revealed to him, he would probably know that the notes weren't real and he would be ok with it because he has a nice bit of cash."
"(-1, 0)","(0, 1)",low,no ,no,yes,no,In the case where Alex will be told whether he will receive the fake or original notes I chose the original notes. In case 2 where he will not be told whether he will receive the fake or original notes I chose that he will receive fake notes since he would not be told whether they are fake or original.
"(200, inf)","(200, inf)",low,no,no,no,no,"The fake notes are kind of creepy, that they are indistinguishable from the real notes.  I prefer to put less fake out in the world, there is too much of it already with brands being faked and people being deepfaked through video and such."
"(0, 1)","(0, 1)",low,no,yes,no,no,"I think you can not tell the difference any way, so maybe extra money is best. "
"(70, 100)","(70, 100)",middle,no,no,yes,no,"In both cases I prefer that Alex get the books with the original notes whether he knows it or not. On the other hand, when the offered money got to $100, that is a useful amount!"
"(45, 70)","(0, 0)",high,no,no,yes,no,I figure if he doesn't know whether he will get the original notes or not then he should get some kind of bonus.
"(100, 140)","(100, 140)",low,no,no,yes,no,I just feel like he'd rather have the original notes no matter what.
"(10, 15)","(-1, 0)",middle,yes,no,yes,no,either way i don't think he would know the difference from the original or fake
"(0, 1)","(0, 1)",low,yes,no,yes,no,I felt they deserved a bonus if they didn't know which one they were getting. I tried to give them both books and money. I feel most people wouldn't care if they were real notes or not they'd much rather have cash.
"(25, 45)","(10, 15)",low,no,yes,yes,no,"I don't feel good about giving him doubt, so I would always choose to tell him. If he is not going to be told I still prefer him to get the real ones. If told then I also prefer that choice. The monetary choices I used as compensation. Also, why give the fake ones anyway if the Profs. are going to get the real ones back ... what possible use could that be to them"
"(-1, 0)","(-1, 0)",low,no,yes,no,no,Those was really no particular reasoning other than the fact that I did not see him getting more than a $1 bonus and therefore I preferred Alex receive the original notes.
"(70, 100)","(25, 45)",middle,no,no,yes,no,"If he can't tell whether he got the real or fake notes in case 2, what's the harm if he gets a bonus along with it?"
"(1, 2)","(0, 1)",high,no,yes,no,no,"Anytime money becomes involved, I feel like the answer is going to be different, in which this was the case."
"(45, 70)","(45, 70)",high,no,no,no,no,"Because I feel like regardless of whether the notes are real or fake that at that sum of money, it seems better to have the money than real notes."
"(200, inf)","(15, 25)",high,no,no,yes,no,"I think that if alex knew the notes were fake he would be upset and I dont think any money would change that so that is why I decided to give him the original notes the whole time. but if alex did not know, and he thinks that he would most likely get the real notes, I gave him a little money instead because it wouldnt matter either way"
"(70, 100)","(45, 70)",middle,no,yes,yes,no,I felt that in certain instances it would mean more to Alex to know the truth about which books he received. I felt that the monetary amounts should scale in level of importance to Alex.
"(70, 100)","(70, 100)",high,no,no,no,no,"I tried to put myself in Alex's position. If I admired the professors, having a handwritten copy of a note within their publication would be something I would cherish more than money. Still, I am also a college student and money is hard to come by sometimes. I think $100 would be too much for a student to pass up without serious consideration. "
"(200, inf)","(200, inf)",middle,no,no,yes,no,I gave the same responses in Case 1 and in in Case 2 because I felt that is was more important for Alex to receive the original notes and no bonus. Alex admires these professors and he enjoys economics therefore he would not care if he received a bonus but he would care if he received fake notes he would rather receive real notes and no bonus.
"(7, 10)","(7, 10)",high,no,no,no,no,I thought it was a pretty reasonable amount for Alex to receive instead of the original notes.
"(200, inf)","(200, inf)",middle,no,no,no,no,He can't buy these books with original notes and I think it is nicer to give gifts with thought behind them rather than money.
"(200, inf)","(200, inf)",low,no,no,yes,no,I think rather he knows or not he would rather have the real books. If he loves both the authors the real books would be better than the bonus
"(70, 100)","(70, 100)",middle,no,no,no,no,"Because i felt like if he didn't get the real ones, he should atleast get a good bit of money out of it."
"(140, 200)","(45, 70)",high,no,no,yes,no,"In Case 1 Alex will likely assume that he got the original notes. In Case 2, it's possible that he will know he has a fake note, which probably has no value to him."
"(-1, 0)","(-1, 0)",low,no,yes,no,no,"I don't want Alex to know that he received fake notes because he respects the authors. People are curious and they like to know so in that case I'd like for him to know. Also, it's nice to receive money."
"(70, 100)","(45, 70)",middle,no,no,yes,no,"If he doesn't know whether they are fake or not, he would probably assume the worst, i..e that they are fake, in which case he may be willing to take a smaller amount of money for them. If he does know, he either knows they are original, in which case he would want more money for them, or they are fake, in which case he does not mind getting a little more for them than if he doesn't know."
"(140, 200)","(140, 200)",middle,no,no,yes,no,I think he would much rather have the original books. I think whether he is told or not does not matter since he loves economics.
"(70, 100)","(0, 1)",high,no,no,no,no,"I think Alex will prefer the books with more money, even though they are fake. The notes are the same so that no one can really tell the difference. "
"(25, 45)","(0, 0)",middle,no,no,yes,no,I believe that both cases should have different results.
"(45, 70)","(70, 100)",low,no,no,no,no,"I initially thought that Alex might appreciate the original notes more than the $, but the bonuses were so high at the end I wondered if Alex might like to have the money as well as the books. This way, Alex gets something that he will like and hopefully a bonus. "
"(15, 25)","(25, 45)",high,yes,no,no,no,I wanted to be sure that he got the original copy.
"(25, 45)","(0, 1)",low,no,no,yes,no,"In the event that case 2 occurs, I would want Alex to feel that he is not being lied to or that he is not worthy of the original notes, and that the extra money will make up for that."
"(140, 200)","(140, 200)",low,no,no,yes,no,"I have a feeling that Alex would truly appreciate the genuine signed books more than the fake ones plus some money. I personally would be satisfied the tradeoff at $200, so that is what I chose for Alex. I wouldn't want to deceive him in any case, so my answer was the same for both situations."
"(1, 2)","(-inf, -1)",low,no,no,yes,no,"I’d feel bad about giving Alex the fake notes, and him KNOWING he got the fake notes, without any monetary reward."
"(200, inf)","(200, inf)",middle,no,no,no,no,"I think that in the name of education, and to honor these two professors especially, I personally would much rather see original notes than fake.  The fake notes cheapen the gift.   I would say that books with original notes by these two excellent profs would far exceed any monetary reward. I mean that. I went to college and have a deep respect for acadamia!"
"(45, 70)","(0, 0)",middle,no,no,yes,no,people usually value original material over faked if they are aware.
"(70, 100)","(70, 100)",high,no,no,no,no,I feel that in both cases the odds of receiving the books with the original notes is quite high and I feel the minimum amount I chose ($100) will allow Alex to feel better about potentially receiving the books with the fake notes. This is an amount that I feel many will feel of actual spending value to Alex and that is what will offset losing out on receiving the books with the original notes.
"(1, 2)","(0, 1)",low,no,no,no,no,"If the professors can't even tell who wrote the notes, it doesn't really matter.  If he's possibly getting a fake note he should be paid.  "
"(70, 100)","(70, 100)",middle,no,no,yes,no,"Whether he learns of it or not, I would prefer that he get the real notes unless there's a good amount of money to make up for them being fake."
"(0, 0)","(0, 0)",low,yes,no,no,no,The idea is to maximize the surprise bonus for Alex in either of the both cases.
"(70, 100)","(45, 70)",low,no,no,yes,no,"regardless of knowing or not, it’d be cool to get the original notes, because you’d at least have the idea they could be real. But also, there comes a point, when you can afford to just buy signed copies yourself! So may as well get some cash bonus, and then you can re-buy signed copies if you so choose. But with the version of him knowing they where real, I held off on the amount of cash bonus a bit more than in the version where he would not know if they where real.  Hope that makes sense! "
"(70, 100)","(0, 0)",low,no,no,yes,no,"If you don't tell Alex that he is receiving the books with fake notes, nothing matters."
"(0, 1)","(-inf, -1)",middle,no,no,yes,no,I felt like their needed to be two situations. It will cover both basis of what could happen at the time.
"(45, 70)","(70, 100)",high,no,no,yes,no,I gave different responses in Case 1 and Case 2 because in Case 1 he will be told about the fake notes and if he got them or not and I think that is the moral thing to do. It is moral to give him the original ones unless the payout is significant to where he could buy the originals himself and still have some money left over. I don't feel good about giving someone something that is fake and them not knowing. It is rude to trick people like that.
"(45, 70)","(45, 70)",high,no,no,yes,no,I don't think know/not know makes a difference. I only considered how much an original note might worth
"(45, 70)","(0, 0)",low,no,no,no,no,I think he deserves the original notes as I believe he'd be very interested and happy he received these. I think at some point a monetary bonus may be the better option.
"(0, 1)","(0, 1)",high,yes,yes,no,no,I would want him to have the original notes if there is no loss or benefit to him or me. The original notes are more sentimental
"(45, 70)","(45, 70)",high,no,no,yes,no,"I figure the books are worth at least 70, so chose that number for both"
"(15, 25)","(25, 45)",middle,no,no,yes,no,I felt that if he knew he had original books he would find them valuable since he knew it was true. In the other case he would never know and that impacted my thoughts. I chose differently mainly because the situation would be different in the two cases.
"(140, 200)","(70, 100)",high,no,no,yes,no,Because I feel like he would need to earn quite a bit more if he knew that they were fake.
"(200, inf)","(200, inf)",middle,no,no,yes,no,I would always pick the authentic notes regardless of whether the recipient knows the authenticity or not.
"(200, inf)","(140, 200)",high,yes,no,yes,no,"In case 1, Alex will likely believe he got the original notes, since there's a 75% chance of that. But also in case 1, he will get $200, which is a cool little bonus. In case 2, since Alex would learn he got the fake notes, I decided he would value the original notes more than $200."
"(70, 100)","(0, 1)",middle,no,no,yes,no,"If Alex does not know what copies he got, then a fake copy and a reward will just seem like it is his lucky day, which is why I chose to give him a fake copy and a low bonus because what he doesn't know wont hurt him and I know he would prefer a real copy. However, if Alex does know which copy he got I figured $100 or more of bonus compensation will make up for it if he receives a fake copy."
"(200, inf)","(200, inf)",middle,no,no,yes,no,"The first cases aren't identifiable same as with case #2, but Alex is told in case 1 whether he got the original or fake notes."
"(70, 100)","(70, 100)",high,yes,no,no,no,"I think that anything over $100 in addition to the books, would offset Alex being upset if he were to end up receiving the fake notes."
"(200, inf)","(200, inf)",low,no,no,no,no,"Regardless of whether Alex believes the notes are fake, he wants the original notes and that's what I think he should get. You also didn't say if he's desperate for money, but I'm assuming he's not. In which case, even $200 wouldn't be that important to him. "
"(200, inf)","(200, inf)",middle,no,no,no,no,why would you give someone fake notes???
"(3, 5)","(3, 5)",low,no,yes,no,no,Alex loves economics and both books are about that.  I think that Alex would really appreciate getting original notes from the authors in a field that he values.
"(45, 70)","(45, 70)",high,no,no,yes,no,"If Alex loves economics, he will probably value the original notes, I thought about giving different answers for the two cases but I decided that the the value of getting the original notes was about the same either way. "
"(140, 200)","(140, 200)",high,no,no,yes,no,"To me it doesn't really matter if Alex knows whether the notes are original or fake. I think the books with original notes are worth more than fake notes with additional money, but I also think most people would prefer the fake notes if it comes with at least $200."
"(0, 1)","(0, 1)",low,yes,no,yes,no,I'd rather Alex got the original rather than fake whether he knows or not because I think original is best. Fake feels dishonest and I really feel negative about things that are dishonest.
"(15, 25)","(0, 1)",middle,no,no,yes,no,I don't know how much Alex cares about the notes being fake. I don't want to potentially upset him by giving him the fake notes when he will know they are fake
"(25, 45)","(10, 15)",middle,no,no,no,no,"I thought it was better to give Alex the books with the original notes because it was more respectful to Alex, since he loves economics so much. When choosing the bonus for Alex, I felt he would enjoy a bigger monetary surprise than to have the original notes."
"(0, 1)","(0, 1)",high,no,yes,no,no,for him to decide what is which
"(-1, 0)","(200, inf)",middle,no,no,yes,no,Because if he knows the notes are fake it seems like he would be okay with it with money included.  He is not being lied to.
"(5, 7)","(7, 10)",low,no,no,yes,no,"I think Alex should be told.  The original is better up until about $10.  As a student, he could probably use the money."
"(140, 200)","(100, 140)",high,no,no,yes,no,"I figured if he didn't know, then I could choose a lower dollar amount for him to receive with the books. "
"(45, 70)","(45, 70)",low,no,no,yes,no,I felt it didn't matter in case 1 or 2 whether he knows or not. The same 75% chance of him receiving the books with the fake notes was on both cases.
"(15, 25)","(15, 25)",low,no,no,yes,no,The average cost of a paperback book is about $15 to $20 and so Alex would still be getting the value of the book whether there would be a signature on the book or not. In this case fake or real signature. So I figure if it is a fraudulent signature then Alex deserves a higher bonus to make up for his disappointment of finding out they were fake and or the fact that he was unknowingly scammed.
"(2, 3)","(15, 25)",low,no,yes,no,no,"I felt that it was the kindest thing to give Alex the original notes, and if he did get the real ones, he didn't need to have the bonus as well."
"(140, 200)","(140, 200)",middle,no,no,yes,no,Either way whether he receives the fake notes or the original it is still a risk since hewill not be able to ditinguish whether ornot they are truly original despite what you tell him because the authors themselves can't tell so he should get the highest bonus either way.
"(15, 25)","(15, 25)",middle,no,no,no,no,I think that in most cases Alex would prefer the original notes.
"(25, 45)","(0, 0)",high,no,no,yes,no,What Alex doesnt know wont hurt him and he will have money even if he doesnt have the original notes.
"(200, inf)","(200, inf)",low,no,no,no,no,I want him to get the real thing. Is Alex poor? Would $200 be a godsend?
"(15, 25)","(15, 25)",middle,no,no,no,no,I think the monetary value is more in either case at $25.  The real notes would be useful. The fake notes if written by the professors probably have true information.
"(200, inf)","(200, inf)",low,no,no,yes,no,"I chose the same answers for both cases because I felt that Alex would prefer the books with the original notes. Even though the fake notes look authentic, I would still want Alex to have the originals because I wouldn't want him to think he had the authentic notes when in actuality, he did not. Believing that he has the original notes when he doesn't, regardless of the bonus, is unfair, in my opinion."
"(15, 25)","(10, 15)",low,yes,no,no,no,"Actually, I thought I gave $25 as my stop on both of them"
"(7, 10)","(0, 1)",low,no,no,yes,no,"Well my reasoning initially, without the bonus, is that I prefer he has an original. If we never told him and let's say he could somehow profit or gain from having these original books, then it would cause less headache in the future if someone were to find out they were fakes. Then, when the bonuses were introduced I thought, anyone would rather have the extra money regardless if fake or not, because my initial thought is probably something that will not happen. I chose the fake with the bonus amount I thought would be worth it."
"(140, 200)","(200, inf)",middle,no,no,yes,no,"In Case 1,I wanted him to get the original notes with no bonus, but knows they are original notes.  I think he would prefer that; In Case 2, I still wanted him to get the original notes even though he doesn't know the difference."
"(15, 25)","(0, 0)",high,no,no,yes,no,"I gave different answers based on whether or not he knows, as well as the amount of the bonus given to him with the fake notes. I figured that if he ended up knowing about receiving the fake notes, he may as well have some compensation for it. "
"(2, 3)","(140, 200)",high,no,no,yes,no,For the first case I figured if he wasn't aware on whether he got the ones with the original or not and then received the fake notes book then he should receive $200. For the second case I figured that he'd actually want the book with the original notes instead of the $200.
"(0, 0)","(0, 0)",low,no,no,no,no,I don't feel strongly either way.
"(0, 1)","(0, 0)",high,no,no,yes,no,i chose different answers because in the case 2 alex would receive a 1 dollar bonus if he gets the fake notes instead of original
"(200, inf)","(0, 0)",high,no,no,yes,no,"Knowing that the notes are real imparts some kind of value to those copies of the book, and I'm sure he would like to know. If, on the other hand, he won't ever know whether the notes are real or fake, it doesn't matter anyway; if they're not known for certain to be real, they might as well be fake."
"(0, 1)","(0, 1)",middle,no,yes,yes,no,I wanted Alex to get bonuses and truth when i could
"(200, inf)","(200, inf)",high,no,no,no,no,"I think that since Alex is a fan of the authors he would prefer to have the authors' original notes, that is why I made the same choice. "
"(0, 1)","(0, 1)",middle,no,no,no,no,I thought Alex would appreciate getting a bonus more than receiving the real notes.
"(200, inf)","(200, inf)",high,no,no,yes,no,Whether he knows the truth or not doesn't matter to me what matters to me is that he has real truthful original notes and that he is getting what he should be getting not a forgery
"(-inf, -1)","(-inf, -1)",middle,yes,yes,no,no,I wanted to change the other case
"(0, 0)","(0, 0)",middle,yes,no,no,no,I think the most important thing to Alex is receiving the books about his favorite topic.  Anything else would be an added bonus and much appreciated.
"(0, 1)","(0, 1)",high,no,no,no,no,Because the end result is $1 more
"(200, inf)","(45, 70)",low,no,no,yes,no,For the first case I switched to giving a bonus since he will never know and a larger bonus would be nice.  In the second case if he gets the original it would be priceless to him because he loves economics.
"(0, 0)","(0, 1)",middle,no,no,yes,no,I gave a different response in Case 2 because Alex would know whether the books he received were fake or originals. I felt indifferent because I was not sure if him knowing would change the outcome or not.
"(45, 70)","(45, 70)",low,no,no,no,no,This is my intake on it.
"(0, 1)","(0, 1)",high,no,no,no,no,It seemed like there would be some kind of extra bonus
"(3, 5)","(3, 5)",low,no,no,yes,no,"I don't think it really makes a difference if he knows are not, its more about the bonus"
"(70, 100)","(70, 100)",middle,no,no,no,no,"if he will not get the real notes, he might as well get some extra cash."
"(200, inf)","(200, inf)",middle,no,no,no,no,"I think that if Alex truly cares about economics the way it has been presented to us then it would be important for him to have the original notes. If he's not told, he's always going to wonder and that's especially true if he's also given a sum of money to go with it. 200 dollars is just not enough for that deception."
"(7, 10)","(7, 10)",high,no,yes,no,no,Either way the odds were the same of receiving the original or fake notes
"(10, 15)","(10, 15)",middle,yes,no,no,no,He loves economics so it just seemed right to give him the real deal with notes from economics professors since he would appreciate them.
"(70, 100)","(70, 100)",low,no,no,yes,no,"Since in both cases, Alex only has a 25% of getting the books with the original notes, I wanted to be sure that regardless of the outcome, he were offered an opportunity to make some money to compensate."
"(0, 1)","(0, 1)",high,no,no,no,no,"To me, the content of the books is more important than the notes and whether or not they are authentic or fake.  Also, since these books are largely about economics, I would like Alex to get a monetary bonus as well as the books."
"(-1, 0)","(70, 100)",low,no,no,yes,no,"If you do not tell Alex whether he got the original or not, he will have the opportunity to get a nice bonus which would make up for not knowing. If you do tell Alex which notes he got, he will have the satisfaction of knowing he has the original notes from someone he admires."
"(-1, 0)","(0, 1)",low,no,no,no,no,I am convinced about my answers
"(200, inf)","(25, 45)",low,no,no,yes,no,"Since Alex loves economics, I think it would be better to give him original notes in Case 2 if he finds out if it was fake or not. In Case 1, I believe it would be nicer if they got a decent amount of money if they were to get fake notes."
"(0, 1)","(0, 1)",middle,yes,no,yes,no,"I gave the same response because whether he knows or anyone else knows, I think the better option is the original, unless there's some other benefit to not getting the original. In this case, getting a fake and money is okay since he wouldn't know the difference anyway, but without a bonus, the original is needed."
"(45, 70)","(25, 45)",middle,no,no,no,no,"I am not really sure, I figured the money bonus would be worth having the fake notes"
"(0, 1)","(0, 1)",high,no,no,no,no,"I think Alex will be pleased if he receives the original notes in his copies of the books. However, I think he will enjoy the extra money more that would be given in the bonuses with the fake notes. I think the bonus money would change his mind about the value of receiving the original notes with the books. The bonus money would be more worth it to him and he would be willing to acknowledge the notes are not written by the original author."
"(140, 200)","(140, 200)",low,no,no,yes,no,"I felt that he should get the original notes no matter the case presented, he should always get the original notes. I do not think he would be happy with fake notes and money but if that was the only option then that is the one that he would have to get. "
"(70, 100)","(15, 25)",middle,no,no,no,no,Alex respects these professors and would very much appreciate the authentic signed copies. But Alex is also a fan of economics and therefore probably likes a monetary bonus especially in lieu of the authetically signed versions.
"(200, inf)","(200, inf)",low,no,no,no,no,I just love authentics
"(0, 1)","(0, 1)",low,yes,no,no,no,I think to make something be a gift it should be special.  The gift is not as special if it is fake.
"(200, inf)","(200, inf)",low,no,no,no,no,I wanted him to get the original notes
"(200, inf)","(200, inf)",middle,no,no,no,no,"Given that these books are on a topic that Alex loves and are written by authors he respects and admires, I would think that the sentiment of an authentic note would be its own bonus. "
