participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.Trad_strict,participant.ES_strict,participant.switch_order,participant.confirm,participant.start_time,participant.end_time,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.development,session.config.participation_fee,session.config.name,session.config.real_world_currency_per_point,session.prolific_completion_url,welfare.1.player.id_in_group,welfare.1.player.role,welfare.1.player.payoff,welfare.1.player.confirm,welfare.1.player.ES_wtp,welfare.1.player.Trad_wtp,welfare.1.player.ES_learn,welfare.1.player.Trad_learn,welfare.1.player.ES_wtp2,welfare.1.player.Trad_wtp2,welfare.1.player.ES_learn2,welfare.1.player.Trad_learn2,welfare.1.player.ES_wtp3,welfare.1.player.Trad_wtp3,welfare.1.player.ES_learn3,welfare.1.player.Trad_learn3,welfare.1.player.experience,welfare.1.player.experienceWhy,welfare.1.player.arkansas,welfare.1.player.arkansasWhy,welfare.1.player.warhol,welfare.1.player.warholWhy,welfare.1.player.cq1,welfare.1.player.cq2,welfare.1.player.cq3,welfare.1.player.cq4,welfare.1.player.cq5,welfare.1.player.gender,welfare.1.player.ethnic,welfare.1.player.age,welfare.1.player.education,welfare.1.player.marital,welfare.1.player.income,welfare.1.player.percentProlific,welfare.1.player.state,welfare.1.player.feedback,welfare.1.player.feedbackDifficulty,welfare.1.player.feedbackUnderstanding,welfare.1.player.feedbackSatisfied,welfare.1.player.feedbackPay,welfare.1.player.cq1_mistakes,welfare.1.player.cq2_mistakes,welfare.1.player.cq3_mistakes,welfare.1.player.cq4_mistakes,welfare.1.player.cq5_mistakes,welfare.1.player.ES_learn_mistakes,welfare.1.player.Trad_learn_mistakes,welfare.1.player.ES_learn2_mistakes,welfare.1.player.Trad_learn2_mistakes,welfare.1.player.ES_learn3_mistakes,welfare.1.player.Trad_learn3_mistakes,welfare.1.player.timeSubmitted_PostCQs,welfare.1.player.timeSubmitted_Cases,welfare.1.player.timeSubmitted_Cases2,welfare.1.player.timeSubmitted_Cases3Explain,welfare.1.player.timeSubmitted_Cases3,welfare.1.player.timeSubmitted_ReviewStatements,welfare.1.player.timeSubmitted_PostMPL,welfare.1.group.id_in_subsession,welfare.1.subsession.round_number,welfare.2.player.id_in_group,welfare.2.player.role,welfare.2.player.payoff,welfare.2.player.confirm,welfare.2.player.ES_wtp,welfare.2.player.Trad_wtp,welfare.2.player.ES_learn,welfare.2.player.Trad_learn,welfare.2.player.ES_wtp2,welfare.2.player.Trad_wtp2,welfare.2.player.ES_learn2,welfare.2.player.Trad_learn2,welfare.2.player.ES_wtp3,welfare.2.player.Trad_wtp3,welfare.2.player.ES_learn3,welfare.2.player.Trad_learn3,welfare.2.player.experience,welfare.2.player.experienceWhy,welfare.2.player.arkansas,welfare.2.player.arkansasWhy,welfare.2.player.warhol,welfare.2.player.warholWhy,welfare.2.player.cq1,welfare.2.player.cq2,welfare.2.player.cq3,welfare.2.player.cq4,welfare.2.player.cq5,welfare.2.player.gender,welfare.2.player.ethnic,welfare.2.player.age,welfare.2.player.education,welfare.2.player.marital,welfare.2.player.income,welfare.2.player.percentProlific,welfare.2.player.state,welfare.2.player.feedback,welfare.2.player.feedbackDifficulty,welfare.2.player.feedbackUnderstanding,welfare.2.player.feedbackSatisfied,welfare.2.player.feedbackPay,welfare.2.player.cq1_mistakes,welfare.2.player.cq2_mistakes,welfare.2.player.cq3_mistakes,welfare.2.player.cq4_mistakes,welfare.2.player.cq5_mistakes,welfare.2.player.ES_learn_mistakes,welfare.2.player.Trad_learn_mistakes,welfare.2.player.ES_learn2_mistakes,welfare.2.player.Trad_learn2_mistakes,welfare.2.player.ES_learn3_mistakes,welfare.2.player.Trad_learn3_mistakes,welfare.2.player.timeSubmitted_PostCQs,welfare.2.player.timeSubmitted_Cases,welfare.2.player.timeSubmitted_Cases2,welfare.2.player.timeSubmitted_Cases3Explain,welfare.2.player.timeSubmitted_Cases3,welfare.2.player.timeSubmitted_ReviewStatements,welfare.2.player.timeSubmitted_PostMPL,welfare.2.group.id_in_subsession,welfare.2.subsession.round_number
11,g30tq26e,5d52aab4d01b31001941a7f1,0,10,36,welfare,Cases3Explain,2023-07-28 14:17:10.972315,1,,,0.0,,,,1,,1690553831.7919753,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,11,,0.0,,1,1,2,1,1,1,2,1,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690554200.7987278,1690554329.4261186,1690554382.2988198,,,,,1,1,11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
12,v90xpxqy,55cf5cc434e9060005e56c39,0,10,36,welfare,Cases3Explain,2023-07-28 14:17:43.728212,1,,,0.0,,,,0,,1690553863.8511162,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,12,,0.0,,1,1,2,1,1,1,2,1,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1690554237.5438948,1690554343.6728318,1690554470.0032334,,,,,1,1,12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
13,xjpglbxe,5ac43d51a3ba7a0001b498d0,0,36,36,welfare,Finished,2023-07-28 14:17:55.756156,1,,,0.0,1,,,1,1,1690553875.885009,1690554966.7904289,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,13,,0.0,1,3,3,2,1,,,,,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,0,1690554269.9653265,1690554336.9313915,,,,1690554491.1802046,,1,1,13,,0.0,,,,,,,,,,,,,,0,"No, because once I came out of it I would no longer have or be experiencing whatever it was I so desired that I had to use the sim because I couldn't have it in real waking life.",0,"It's money out of his pocket, he takes a loss, so worse off.",1,"They don't know it, but they have a valuable piece, and if they ever have it valued by a professional, theyw ould find it to be authentic and be aware of its real value.",,,,,,,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690554625.382676,1,2
14,mgskmyr4,5ec67c1f9d0f0906b783865f,0,6,36,welfare,CQ,2023-07-28 14:21:29.668903,1,,,0.0,,,,0,,1690554091.1134539,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
15,562iz65n,5a1980eb5d06850001b00d84,0,5,36,welfare,YourTask,2023-07-28 14:22:39.066814,1,,,0.0,,,,1,,1690554160.9805052,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
16,akwufhah,582afed4ce3a0e00010b3245,0,4,36,welfare,EconomicsFan,2023-07-28 14:22:49.963785,1,,,0.0,,,,0,,1690554175.0091462,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
17,h3aa1y6i,5c21923289f03500017369fd,0,4,36,welfare,EconomicsFan,2023-07-28 14:23:19.131786,1,,,0.0,,,,1,,1690554209.2416785,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
18,8b98usco,62dee5f2ad4598079383a5aa,0,2,36,welfare,Consent,2023-07-28 14:25:36.117579,1,,,0.0,,,,0,,1690554365.163903,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
19,nnr34dei,57b4abf0f0ed6e0001517979,0,0,36,,,,1,,,0.0,,,,1,,,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
20,8si7k3ly,5ead45a386fbbe3c8eebe510,0,36,36,welfare,Finished,2023-07-28 14:29:43.274286,1,,,0.0,1,,,0,1,1690554583.3824456,1690556574.8578188,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,20,,0.0,1,2,1,2,1,1,2,2,1,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,0,0,1690555646.7552743,1690555786.3789468,1690555826.939838,,,1690555999.852086,,1,1,20,,0.0,,,,,,,,,,,,,,0,I don't want that feeling of accomplishment or satisfaction unless its real or I earned It. It would be horrible when I am back in reality and lose that feeling the machine gave me it would be like waking up from a dream and losing everything.,0,He may eventually overtime need all the money he is losing on taxes to pay his bills.,1,Because If it somehow is distinguished that person can resell it for $20K.,,,,,,,,,,,,,,,9,9,7,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690556004.4117482,1,2
21,2af3sxrl,622e06e4046635b0eb64f103,0,1,36,welfare,Welcome,2023-07-28 14:29:05.963131,1,,,0.0,,,,1,,1690554609.1042862,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,21,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,21,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
22,r6050v39,6110afe5ca0fbaba210ee3d8,0,0,36,,,,1,,,0.0,,,,0,,,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
23,fp6lwazz,6117efedb574017076d5b499,0,36,36,welfare,Finished,2023-07-28 14:32:48.249754,1,,,0.0,1,,,1,1,1690554768.5399399,1690555419.128839,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,23,,0.0,1,1,2,2,1,2,1,2,1,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,1690555123.8333259,1690555138.0349643,1690555152.8366525,,,1690555161.8305519,,1,1,23,,0.0,,,,,,,,,,,,,,0,I think it would not good for that I won't entered into it. If I was there I would not able to know I am there.,1,I think it is the best from the provided information.,0,I think he would get the original one instead of a copy.,,,,,,,,,,,,,,Not at all.,9,9,8,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690555165.1786342,1,2
24,hsndtutg,62962081623fdb8a89196208,0,0,36,,,,1,,,0.0,,,,0,,,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,24,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,24,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
25,4ry8x1b9,63b6f0c524c4735cd7755c27,0,1,36,welfare,Welcome,2023-07-28 14:30:06.851485,1,,,0.0,,,,1,,1690554633.1055708,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
