participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.Trad_strict,participant.ES_strict,participant.switch_order,participant.confirm,participant.start_time,participant.end_time,participant.treatment,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.development,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,session.prolific_completion_url,welfare.1.player.id_in_group,welfare.1.player.role,welfare.1.player.payoff,welfare.1.player.confirm,welfare.1.player.ES_wtp,welfare.1.player.Trad_wtp,welfare.1.player.ES_learn,welfare.1.player.Trad_learn,welfare.1.player.ES_wtp2,welfare.1.player.Trad_wtp2,welfare.1.player.ES_learn2,welfare.1.player.Trad_learn2,welfare.1.player.ES_wtp3,welfare.1.player.Trad_wtp3,welfare.1.player.ES_learn3,welfare.1.player.Trad_learn3,welfare.1.player.MPLWhy,welfare.1.player.experience,welfare.1.player.experienceWhy,welfare.1.player.arkansas,welfare.1.player.arkansasWhy,welfare.1.player.warhol,welfare.1.player.warholWhy,welfare.1.player.cq1,welfare.1.player.cq2,welfare.1.player.cq3,welfare.1.player.cq4,welfare.1.player.cq5,welfare.1.player.cq6_treatments,welfare.1.player.cq6_ambiguous,welfare.1.player.feedback,welfare.1.player.feedbackDifficulty,welfare.1.player.feedbackUnderstanding,welfare.1.player.feedbackSatisfied,welfare.1.player.feedbackPay,welfare.1.player.cq1_mistakes,welfare.1.player.cq2_mistakes,welfare.1.player.cq3_mistakes,welfare.1.player.cq4_mistakes,welfare.1.player.cq5_mistakes,welfare.1.player.cq6_ambiguous_mistakes,welfare.1.player.cq6_treatments_mistakes,welfare.1.player.ES_learn_mistakes,welfare.1.player.Trad_learn_mistakes,welfare.1.player.ES_learn2_mistakes,welfare.1.player.Trad_learn2_mistakes,welfare.1.player.ES_learn3_mistakes,welfare.1.player.Trad_learn3_mistakes,welfare.1.player.timeSubmitted_PostCQs,welfare.1.player.timeSubmitted_Cases,welfare.1.player.timeSubmitted_Cases2,welfare.1.player.timeSubmitted_Cases3Explain,welfare.1.player.timeSubmitted_Cases3,welfare.1.player.timeSubmitted_ReviewStatements,welfare.1.player.timeSubmitted_PostMPL,welfare.1.group.id_in_subsession,welfare.1.subsession.round_number,welfare.2.player.id_in_group,welfare.2.player.role,welfare.2.player.payoff,welfare.2.player.confirm,welfare.2.player.ES_wtp,welfare.2.player.Trad_wtp,welfare.2.player.ES_learn,welfare.2.player.Trad_learn,welfare.2.player.ES_wtp2,welfare.2.player.Trad_wtp2,welfare.2.player.ES_learn2,welfare.2.player.Trad_learn2,welfare.2.player.ES_wtp3,welfare.2.player.Trad_wtp3,welfare.2.player.ES_learn3,welfare.2.player.Trad_learn3,welfare.2.player.MPLWhy,welfare.2.player.experience,welfare.2.player.experienceWhy,welfare.2.player.arkansas,welfare.2.player.arkansasWhy,welfare.2.player.warhol,welfare.2.player.warholWhy,welfare.2.player.cq1,welfare.2.player.cq2,welfare.2.player.cq3,welfare.2.player.cq4,welfare.2.player.cq5,welfare.2.player.cq6_treatments,welfare.2.player.cq6_ambiguous,welfare.2.player.feedback,welfare.2.player.feedbackDifficulty,welfare.2.player.feedbackUnderstanding,welfare.2.player.feedbackSatisfied,welfare.2.player.feedbackPay,welfare.2.player.cq1_mistakes,welfare.2.player.cq2_mistakes,welfare.2.player.cq3_mistakes,welfare.2.player.cq4_mistakes,welfare.2.player.cq5_mistakes,welfare.2.player.cq6_ambiguous_mistakes,welfare.2.player.cq6_treatments_mistakes,welfare.2.player.ES_learn_mistakes,welfare.2.player.Trad_learn_mistakes,welfare.2.player.ES_learn2_mistakes,welfare.2.player.Trad_learn2_mistakes,welfare.2.player.ES_learn3_mistakes,welfare.2.player.Trad_learn3_mistakes,welfare.2.player.timeSubmitted_PostCQs,welfare.2.player.timeSubmitted_Cases,welfare.2.player.timeSubmitted_Cases2,welfare.2.player.timeSubmitted_Cases3Explain,welfare.2.player.timeSubmitted_Cases3,welfare.2.player.timeSubmitted_ReviewStatements,welfare.2.player.timeSubmitted_PostMPL,welfare.2.group.id_in_subsession,welfare.2.subsession.round_number
11,cuf0j6lb,63c5e8422563a1600d959475,0,36,36,welfare,Finished,2023-07-31 18:12:20.691495,1,,,0.0,1,,,1,1,1690827140.757272,1690828006.4767315,middle,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,11,,0.0,1,2,1,2,1,1,2,2,1,,,,,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1690827429.4317465,1690827490.3769803,1690827523.8421648,,,1690827574.5728242,,1,1,11,,0.0,,,,,,,,,,,,,,I think he needs to know which one is real or fake.,0,Scared of the experience,1,John is helping other people in need,0,They are the same at this point,,,,,,,,N/A,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690827662.4891255,1,2
12,yd1luzav,5c5c8a688089970001788f30,0,36,36,welfare,Finished,2023-07-31 18:15:16.957716,1,,,0.0,1,true,true,0,1,1690827317.01286,1690828257.807085,high,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,12,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[""right:11""],""cutoff"":""left:11""}","{""history"":[],""cutoff"":""left:11""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690827499.7261357,1690827543.8850908,1690827585.5403912,1690827606.4025507,1690827651.5882869,1690827686.1389816,,1,1,12,,0.0,,,,,,,,,,,,,,"Considering the passion that Alex has for economics, I thought knowing he had the original notes would mean more to him than any amount of money shown ",1,It's an opportunity that would be rare and fascinating and I am at the stage in life (last stage) where I want to experience new and unusual things and learn as much as humanly possible for as long as I am here and have all faculties intact. ,1,John cares about helping others and would gladly contribute $100 says to me that it does not matter if he knows about it actually happening or not. He would say yes if asked and he is at peace with that. ,1,I believe there would ultimately be a way to differentiate the real from the fakes and so having the original still has great value; it's just a matter of time till the truth is discovered.,,,,,,,,"This was a fun and challenging study; always appreciated among the mass of similar in format studies that are made available daily. My instinct is to go for easy, but when challenged I feel so much better; as if I am really making a difference to the research being done. ",10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690827756.0314312,1,2
13,mhy7j86g,5c8f224c9d2bff0001867ce2,0,36,36,welfare,Finished,2023-07-31 18:15:24.724178,1,,,0.0,1,,,1,1,1690827324.937001,1690830870.1996663,low,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,13,,0.0,1,2,2,2,1,1,1,2,1,,,,,,,,,,,,1,1,2,2,3,2,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,1690828657.118293,1690828809.4500642,1690828875.7125657,,,1690829037.130333,,1,1,13,,0.0,,,,,,,,,,,,,,I believe that this fact did not affect my decision because it was based mainly on my moral and ethical principles.,1,I believe that entering this machine can be a truly rewarding and unique experience.,0,"Because the tax increase will have a negative impact on John's income over the next few months, making his economic situation only slightly worse.",0,"No, because the forgeries and the original work are identical, so the original work loses a lot of artistic and economic value.",,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690829532.8906522,1,2
14,zwk23i2z,63d8766016c0bfcd19d3c732,0,36,36,welfare,Finished,2023-07-31 18:15:57.134524,1,,,0.0,1,true,true,0,1,1690827357.207887,1690828094.4831424,middle,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,14,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[""left:6""],""cutoff"":""left:5""}","{""history"":[],""cutoff"":""left:8""}",2,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690827509.9328072,1690827543.6751716,1690827570.790064,1690827598.827655,1690827637.8650622,1690827650.4347749,,1,1,14,,0.0,,,,,,,,,,,,,,I think that Alex would prefer to have the original notes. I also think that if he knows that they are fake he wouldn't be happy with less than 100$.,0,I don't think that I would like to be immersed in something that wasn't real. I don't want to be in an augmented reality.,0,It is something that he doesn't know he is contributing so he is finically worse off.,0,The person that receives the original is no better off because there are 999 copies and they can all be identified as the original.,,,,,,,,I enjoyed the study. ,9,10,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690827707.839993,1,2
15,mntf7rza,5ba16cc388ec69000112a59b,0,36,36,welfare,Finished,2023-07-31 18:18:14.131856,1,,,0.0,1,true,true,1,1,1690827494.1834412,1690828020.4472835,high,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,15,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:11""}","{""history"":[""left:0"",""left:1"",""left:2"",""left:3""],""cutoff"":""left:11""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690827615.8663018,1690827634.2817256,1690827656.4579175,1690827672.8405678,1690827691.343105,1690827702.4948053,,1,1,15,,0.0,,,,,,,,,,,,,,I didn't take into account whether or not he would learn which notes he would get much; I wanted him to receive the original notes in every case because he is a fan of economics and I think it would mean more to him,0,"I would be too worried that when I came out of the machine, my memories between what is real and what is fake would be indistinguishable and it could affect me negatively down the road.",1,"I believe that when a government takes care of its citizens, everyone benefits, even those not directly affected by the issue at hand.",0,People who purchased a drawing from this collective ostensibly knew what the situation was and wanted to get involved by purchasing a drawing anyway. I think everyone who purchased one assumed they received a fake because there were so many more.,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690827763.369551,1,2
16,7d1unct8,5ec9cf3ed4642d4ebb802b42,0,36,36,welfare,Finished,2023-07-31 18:19:06.197667,1,,,0.0,1,true,true,0,1,1690827546.3223116,1690828264.5797787,low,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,16,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:11""}","{""history"":[],""cutoff"":""left:11""}",2,1,,,,,,,,1,1,2,2,3,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690827776.9259193,1690827813.2635117,1690827845.6628673,1690827868.6623032,1690827898.6420267,1690827912.4598932,,1,1,16,,0.0,,,,,,,,,,,,,,I chose to have Alex know and receive the real notes where possible.,0,Real life is enough.,0,He did not willingly contribute the money.,1,"If it could be authenticated, it would be more valuable.",,,,,,,,,10,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690827973.2433944,1,2
17,sl4ld389,62778bd8b195693397330c4f,0,36,36,welfare,Finished,2023-07-31 18:19:09.880195,1,,,0.0,1,true,true,1,1,1690827550.0293047,1690828288.3845618,middle,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,17,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:11""}","{""history"":[],""cutoff"":""left:11""}",2,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690827775.9166012,1690827832.1836069,1690827856.6932397,1690827876.8077185,1690827911.683896,1690827922.7655864,,1,1,17,,0.0,,,,,,,,,,,,,,Alex would be better served by knowing that the notes are genuine. The books with the real notes may have value at or above $200 at some point in the future should Alex or his children decide to sell the books.,0,I would be concerned that the experience would inappropriately alter my understanding of the world and my relationships to other individuals.,1,Better because he feels that his life has purpose - contributing to the welfare of others.,0,It has no value above what the copies provide.,,,,,,,,Good luck with your study.,8,10,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690828019.664026,1,2
18,cpzy3o7m,614227ca2722b36a2e6a593b,0,36,36,welfare,Finished,2023-07-31 18:20:27.252854,1,,,0.0,1,true,true,0,2,1690827627.3326273,1690828462.8833225,high,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,18,,0.0,2,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:0""}","{""history"":[],""cutoff"":""left:0""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690827893.5097694,1690827934.1470275,1690827956.7121441,1690827990.3215802,1690828037.8838298,1690828064.7614846,,1,1,18,,0.0,,1,1,2,1,1,1,2,1,"{""history"":[""left:0"",""left:1"",""left:2"",""left:3"",""left:4"",""left:5"",""left:6"",""left:7"",""left:8"",""left:9"",""left:10""],""cutoff"":""left:11""}","{""history"":[""left:0"",""left:1"",""left:2"",""left:3"",""left:6""],""cutoff"":""left:11""}",2,1,it didnt matter if he knew if they were fake or not.  he admired the economists so he should get the original notes.,0,Its not real and never will be real.,0,John has no idea whats going on.  How could he possibly benefit from the increased tax.,1,We don't know what kind of technology will be invented in the future to identify fake ones from real ones.,,,,,,,,It was fine.,10,10,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,1690828082.0864215,1690828100.6216366,1690828122.095175,1690828150.0814927,,1690828212.7750554,1,2
19,l2h6igsl,631a68d95296b3b289d64291,0,5,36,welfare,YourTask,2023-07-31 18:20:45.351669,1,,,0.0,,,,1,,1690827645.4197881,,low,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
20,ke12sr3n,63cb23389133d3f76db2336a,0,36,36,welfare,Finished,2023-07-31 18:21:22.872040,1,,,0.0,1,true,true,0,1,1690827683.0647864,1690828072.810115,middle,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,20,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:7""}","{""history"":[""left:6""],""cutoff"":""left:8""}",2,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1690827799.6162183,1690827822.816481,1690827835.1980774,1690827840.3593144,1690827862.993958,1690827867.2508512,,1,1,20,,0.0,,,,,,,,,,,,,,"I wanted to make similar choices for both, because I feel like Alex would most value the actual notes written by the professors. At the same time though, I'm not sure he values it above a certain amount of money, like $70 or $100+, so I gave him the option that imitated the professors and gave him large amounts of money as well",1,"It would be extremely cool to live in the life of someone else, and have the same experiences others have, not only to learn from them, but also to put myself in the shoes of someone else I potentially may admire or hate.",0,"It makes him worse off, just because he has to pay an extra $100. If the government really cared, the would ask him about it and maybe let him choose how much to donate, because if he wanted to donate more, he would.",1,"Theoretically, they can sell the copy for more; therefore the person is better off. ",,,,,,,,,10,10,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690827928.9176798,1,2
21,lmga8ju1,5a9ab4944eecca0001dd806a,0,36,36,welfare,Finished,2023-07-31 18:22:27.685822,1,,,0.0,1,true,true,1,1,1690827747.758568,1690829019.5599768,high,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,21,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:9""}","{""history"":[""left:8""],""cutoff"":""left:9""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690828115.767245,1690828176.398678,1690828210.0311217,1690828281.9814732,1690828383.7686014,1690828408.893188,,1,1,21,,0.0,,,,,,,,,,,,,,"It did affect my choice, because I believe he would prefer the real notes. However, the chances that the notes are real are pretty high, so If the notes happen to be fake, I wanted him to get a good bonus.",1,"Yes, because it sounds like it would be enjoyable. I would have a hard time choosing what I would like to experience.",1,"It says that John cares about helping others and would gladly give $100, so obviously he can afford to give. If this were not the situation, i.e. if John was financially strapped, he might be much worse off.",0,"No, because it says that the copies are indistinguishable and noone will ever know which is the original.",,,,,,,,It was interesting.,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690828524.052975,1,2
22,m6hv5b3y,5deebb555c4435044e648c7f,0,36,36,welfare,Finished,2023-07-31 18:23:42.227094,1,,,0.0,1,true,true,0,1,1690827822.3585267,1690829512.8268468,low,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,22,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[""left:11"",""left:8"",""left:7"",""left:6"",""left:6"",""left:5""],""cutoff"":""left:6""}","{""history"":[""left:11""],""cutoff"":""left:8""}",2,1,,,,,,,,1,1,2,2,3,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690828165.6895103,1690828234.0158784,1690828260.322525,1690828282.7436893,1690828470.8346171,1690828485.0756176,,1,1,22,,0.0,,,,,,,,,,,,,,"In the event that Alex does not learn which version of notes he received, he will likely assume that he received the fake notes, therefore I did not feel that the financial ""threshold"" to receive the fake notes+money needed to be that high since his expectations were likely ""low"" (i.e. 75% of receiving fake notes).  However, in the event that Alex does learn which version of notes he received, I wanted to make it ""worth his while"" with respect to cash received with the fake notes rather than the real notes, therefore I set a higher financial threshold.  In other words, I realize that in this case, Alex would ""know what he's missing"" if he got the fake notes, so I wanted to make it up to him financially.",0,"While I think this experience might be interesting, I much prefer engaging in the ""real world"" with real people and things.  That way, I get the mental, sensual and somatic experiences within the contexts of reality - not just mental.",0,"I think John feels worse off due to the tax increase.  He would ""gladly contribute"" so he would likely prefer contributing directly to the cause, with the added bonus of including this donation on his taxes.",0,No - the person is not better off getting the original because he will very likely believe it is fake and treat it as such (i.e. not store it as carefully).,,,,,,,,No issues - this study was interesting all the way through.,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690828862.7923555,1,2
23,70s9awsn,63cf09b5ff96755df8057199,0,36,36,welfare,Finished,2023-07-31 18:24:28.936900,1,,,0.0,1,true,true,1,1,1690827869.0496883,1690829130.6829784,middle,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,23,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:11""}","{""history"":[""left:11"",""right:8""],""cutoff"":""left:11""}",2,1,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1690828788.8594353,1690828816.2777233,1690828847.0309854,1690828855.3032954,1690828876.1359327,1690828880.8636231,,1,1,23,,0.0,,,,,,,,,,,,,,Though the $200 would be a nice bonus the original notes are not common an unlikely to be duplicated. With Alex being a fan of economics I think the notes would be a better gift.,1,"I would, but I would want a defined period that I will be plugged in. ",1,There is a greater good and by improving the levee it will likely have long tail benefits such as lower home owner insurance rates.,1,If they get the original it is worth significantly more money.,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690828945.1094031,1,2
24,h9wgsyyb,5e5578c220b63957aeea65dd,0,36,36,welfare,Finished,2023-07-31 18:25:41.612701,1,,,0.0,1,true,true,0,1,1690827941.7220001,1690828745.710853,high,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,24,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[""right:5"",""left:5""],""cutoff"":""right:5""}","{""history"":[""right:4"",""left:4""],""cutoff"":""right:4""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690828095.076321,1690828127.1231399,1690828154.026711,1690828174.2559197,1690828212.8951967,1690828230.497258,,1,1,24,,0.0,,,,,,,,,,,,,,"As a student myself I would prefer to receive the original signed books over 10 dollars, it's nice to know that they signed it just for me. But once you start getting more money, that sounds more attractive to me, I would already know that the professors signed it for me, so that seems like a good enough deal. The sentiment is there regardless if I have the original or the fake ones.",1,"This could get very dystopian very quickly but if it is more innocent scenarios such as eating food, going on a rollercoaster, etc. then that seems like fun. But once you get into more life-changing events such as having a family then I would not because I think it would mess with my perception once out of the machine.",0,He does not know why $100 is being taken from him and it would most likely just make him angry towards the government for doing so which makes him worse off financially and emotionally.,0,They will never be able to know if they have the original or not so they practically just wasted $250 to get a print made by a machine.,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690828403.6798422,1,2
25,r6bt2iob,5e0a434b8676812de85037c3,0,4,36,welfare,EconomicsFan,2023-07-31 18:26:03.486850,1,,,0.0,,,,1,,1690827963.5782776,,low,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
26,mrbxa2cv,62f70dd38becd2f7f2ce53a8,0,36,36,welfare,Finished,2023-07-31 18:26:40.179388,1,,,0.0,1,,,0,1,1690828000.2450504,1690828349.1165507,middle,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,26,,0.0,1,3,3,2,1,,,,,,,,,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,1,2,1,0,0,0,0,0,0,0,1690828078.364086,1690828132.3365319,,,,1690828139.533665,,1,1,26,,0.0,,,,,,,,,,,,,,"Personally I don't really care if Alex learns if he got the real thing or not, I just don't feel like it affects me either way. ",1,There are some impossible things I'd like to experience that the machine could make possible. ,0,The taxes will never be lowered because our government is greedy and opportunistic. ,1,There is a slight chance an art expert may be able to tell its the original. ,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690828192.4593153,1,2
27,o1f0nxo7,6320a1395b4e05325c746101,0,36,36,welfare,Finished,2023-07-31 18:26:55.293935,1,,,0.0,1,true,true,1,1,1690828015.3522093,1690829075.5145125,high,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,27,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:8""}","{""history"":[],""cutoff"":""left:6""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690828513.8962631,1690828559.9427397,1690828603.334469,1690828666.1274123,1690828718.9950337,1690828724.7708251,,1,1,27,,0.0,,,,,,,,,,,,,,I think Alex should get the original notes unless the payout is above $20. ,1,To travel through space and see unimaginable things. I would travel to a black hole or a different galaxy. ,0,He's paying for something he didn't do. The government should be the ones paying money to relieve the victims of the flooding.,0,I feel like the person would be best if they knew whether the copy they had was the original or the fake.,,,,,,,,,8,9,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690828780.866157,1,2
28,u6r7e8wl,61080e770015049d96187e01,0,36,36,welfare,Finished,2023-07-31 18:27:18.667073,1,,,0.0,1,true,true,0,2,1690828038.727404,1690828672.7875981,low,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,28,,0.0,2,3,1,2,1,,1,,1,NA,"{""history"":[""right:5""],""cutoff"":""right:6""}",,1,,,,,,,,1,1,2,2,3,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1690828212.575154,1690828243.504505,1690828263.786458,1690828289.3218653,1690828305.3521953,1690828326.5456104,,1,1,28,,0.0,,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:4""}","{""history"":[],""cutoff"":""right:7""}",2,1,"If Alex will not learn about which notes he received, then the extra money would be considered a bonus. If he does learn, the extra money will have to make up for receiving fake notes.",1,I think I would go into the machine (though hesitantly) because it seems like an interesting way to experience more within the same contexts. ,0,"It makes John, specifically, worse off because he never learns about the flooding and thus lives in ignorance. ",0,No they won't be better off if all the paintings are the exact same and no one will ever find out. ,,,,,,,,NA,9,9,9,9,0,0,0,0,0,0,0,0,1,0,0,0,0,,1690828343.6729834,1690828353.6104124,1690828356.5328562,1690828377.8170288,,1690828430.0773606,1,2
29,2nf26szr,63ed3c71811f2a4a5e54bd75,0,5,36,welfare,YourTask,2023-07-31 18:27:43.555546,1,,,0.0,,,,1,,1690828064.3757968,,middle,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,29,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,29,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
30,2vm8dg6p,61088dd12254a40e38ed6015,0,36,36,welfare,Finished,2023-07-31 18:28:01.841968,1,,,0.0,1,true,true,0,1,1690828081.9567015,1690828666.824774,high,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,30,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[""right:9""],""cutoff"":""left:11""}","{""history"":[],""cutoff"":""left:11""}",2,1,,,,,,,,1,1,2,2,3,1,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1690828227.075671,1690828245.161394,1690828263.0182016,1690828268.7566068,1690828286.8958828,1690828291.250378,,1,1,30,,0.0,,,,,,,,,,,,,,"I feel like whether Alex knows or not, it would be worth more than money for him to have the originals.",1,Seems like a once in a lifetime experience.,0,He doesn't know what his money is going to.,0,I guess not since they wouldn't know.,,,,,,,,,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690828343.1227894,1,2
31,70gul7o5,5edc195a95d5090e1c3f91b2,0,36,36,welfare,Finished,2023-07-31 18:28:04.916420,1,,,0.0,1,true,false,1,2,1690828085.009817,1690828559.6104136,low,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,31,,0.0,2,1,1,2,1,2,1,2,1,NA,"{""history"":[],""cutoff"":""right:9""}",,1,,,,,,,,1,1,2,2,3,2,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1690828218.0583053,1690828304.5546308,1690828320.468168,1690828325.623468,1690828342.6255744,1690828352.1074934,,1,1,31,,0.0,,1,1,2,1,2,1,2,1,NA,"{""history"":[""left:9""],""cutoff"":""right:9""}",,1,"I tried to think about how I would feel. I would definitely want to get the original notes since I know it's from the author themselves. But if I didn't know it was fake notes, I would want the cash value at $100.",1,A way to experience things I wouldn't be able to.,0,"If he doesn't know about the actual effort, I don't think its justified. ",0,"Probably not, since there is so many fakes that are identical.",,,,,,,,,9,7,8,8,0,0,0,0,0,0,0,0,1,1,1,0,1,,1690828360.5323179,1690828369.789363,1690828371.1889813,1690828388.673692,,1690828443.967346,1,2
32,4fh0p0hy,5d506e6d4040a40016bb186a,0,36,36,welfare,Finished,2023-07-31 18:28:31.208522,1,,,0.0,1,,,0,1,1690828111.272885,1690828809.6640112,middle,o32u5ydy,,,,,0,0,1.0,3.0,welfare,,32,,0.0,1,3,3,2,1,,,,,,,,,,,,,,,,1,1,2,2,3,,2,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,1690828362.7759979,1690828411.0475545,,,,1690828450.3639934,,1,1,32,,0.0,,,,,,,,,,,,,,I am indifferent on what he receives as I think it is all pretty stupid.,0,Why? Yes why would I want to do that?,0,He is worse off as he has no idea what the levy is to be used for.,0,they will never know what they have,,,,,,,,,8,8,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690828513.3723705,1,2
